date,ordinality,count
1853,1.0,31
1871,0.8889,36
1875,1.0,31
1883,0.9677,31
1884,0.9688,32
1885,1.0,33
1889,0.973,37
1893,0.9375,32
1894,0.9688,32
1895,0.9773,44
1897,1.0,31
1898,0.9062,32
1899,0.9062,32
1900,0.9615,52
1901,0.9211,38
1902,1.0,39
1903,0.875,40
1904,0.8537,41
1905,0.9714,35
1906,0.9118,51
1907,0.9981,54
1908,0.9581,65
1909,0.9556,45
1910,0.9626,49
1911,0.9388,49
1912,0.9519,52
1913,0.9035,57
1914,0.9977,63
1915,0.963,54
1916,0.9568,54
1917,0.9911,56
1918,0.9986,58
1919,0.9868,76
1920,0.9667,60
1921,0.971,46
1922,0.9634,82
1923,0.9216,51
1924,0.9727,55
1925,0.9524,42
1926,0.9474,38
1927,0.9722,36
1928,0.9821,56
1929,0.9591,57
1930,1.0,73
1931,0.9811,53
1932,1.0,33
1933,0.9716,47
1934,0.9615,52
1935,0.9222,45
1936,1.0,62
1937,0.9722,54
1938,0.9408,76
1939,0.9844,64
1940,1.0,54
1941,1.0,78
1942,1.0,51
1943,1.0,34
1944,1.0,54
1945,0.9649,57
1946,0.9853,68
1947,0.9833,72
1948,0.9868,76
1949,0.9833,90
1950,0.9956,76
1951,0.9986,82
1952,0.9872,78
1953,1.0,100
1954,0.9804,85
1955,0.9986,77
1956,0.9621,83
1957,0.9882,85
1958,0.9558,99
1959,0.9705,106
1960,0.9708,120
1961,0.9919,134
1962,0.9922,128
1963,0.9677,155
1964,0.9635,146
1965,0.9527,176
1966,0.9912,151
1967,0.9873,157
1968,0.9942,171
1969,0.9747,178
1970,0.9825,200
1971,0.9659,176
1972,0.9791,191
1973,0.9605,211
1974,0.9592,196
1975,0.9696,181
1976,0.9677,173
1977,0.9713,218
1978,0.9477,172
1979,0.9167,208
1980,0.9614,216
1981,0.9718,213
1982,0.9644,192
1983,0.9473,214
1984,0.9615,221
1985,0.9422,173
1986,0.9847,163
1987,0.9632,213
1988,0.9402,259
1989,0.9538,195
1990,0.9854,137
1991,0.9903,129
1992,0.9773,143
1993,0.9709,235
1994,0.9611,330
1995,0.9517,269
1996,0.9641,230
1997,0.9771,175
1998,0.9809,183
1999,0.9714,134
2000,0.9552,119
2001,0.9307,125
2002,0.9555,146
2003,0.9533,125
2004,0.9419,129
2005,0.9534,179
2006,0.9567,183
2007,0.9602,88
2008,0.9686,122
2009,0.9567,104
2010,0.9474,38
