date,ordinality,count
1976,0.5789,38
1978,0.434,48
1979,0.5946,37
1980,0.443,38
1981,0.4891,61
1982,0.473,70
1983,0.3438,64
1984,0.6399,56
1985,0.4896,64
1986,0.4667,36
1987,0.5628,69
1988,0.5562,86
1989,0.3783,76
1990,0.5917,40
1991,0.617,47
1992,0.417,60
1993,0.429,81
1994,0.417,116
1995,0.5119,96
1996,0.55,90
1997,0.4254,67
1998,0.4627,67
1999,0.4962,39
2001,0.4444,36
2002,0.5455,33
2003,0.4189,37
2004,0.534,36
2005,0.43,50
2006,0.5311,67
2007,0.4848,33
2008,0.4455,55
2009,0.4875,40
