date,ordinality,count
1907,1.0,35
1908,0.9182,53
1909,0.9155,73
1910,0.9113,77
1911,0.8852,82
1912,0.8894,84
1913,0.902,95
1914,0.9191,102
1915,0.9136,147
1916,0.8979,124
1917,0.8973,87
1918,0.8741,88
1919,0.8681,108
1920,0.8897,134
1921,0.9048,114
1922,0.9053,129
1923,0.9369,70
1924,0.9613,71
1925,0.9095,71
1926,0.9288,96
1927,0.9368,87
1928,0.8744,91
1929,0.9202,87
1930,0.8781,94
1931,0.8955,110
1932,0.9439,98
1933,0.8989,89
1934,0.9441,83
1935,0.9469,91
1936,0.9406,109
1937,0.8978,115
1938,0.9001,145
1939,0.922,175
1940,0.9245,144
1941,0.9179,125
1942,0.9205,100
1943,0.9167,66
1944,0.9502,87
1945,0.9581,99
1946,0.9322,99
1947,0.858,125
1948,0.897,106
1949,0.9298,127
1950,0.9002,127
1951,0.851,104
1952,0.918,125
1953,0.9237,98
1954,0.9251,111
1955,0.9467,133
1956,0.9299,147
1957,0.949,152
1958,0.9173,140
1959,0.9319,178
1960,0.9231,189
1961,0.9027,175
1962,0.9441,152
1963,0.8841,161
1964,0.9011,145
1965,0.9423,145
1966,0.9097,131
1967,0.9341,148
1968,0.8827,164
1969,0.8972,158
1970,0.9029,175
1971,0.8882,177
1972,0.8868,160
1973,0.8879,188
1974,0.8942,191
1975,0.903,172
1976,0.852,136
1977,0.8742,155
1978,0.8669,141
1979,0.885,142
1980,0.9217,115
1981,0.9097,130
1982,0.9247,104
1983,0.8547,90
1984,0.9254,105
1985,0.8756,71
1986,0.8724,76
1987,0.8211,82
1988,0.8225,92
1989,0.8425,73
1990,0.7868,68
1991,0.787,63
1992,0.963,54
1993,0.8869,84
1994,0.7782,124
1995,0.8943,93
1996,0.8153,91
1997,0.8359,64
1998,0.8756,78
1999,0.8406,69
2000,0.795,47
2001,0.8222,45
2002,0.8711,38
2003,0.8378,37
2005,0.8945,64
2006,0.7878,69
2007,0.7333,45
2008,0.8889,45
2009,0.8254,46
