date,ordinality,count
1892,0.3061,49
1893,0.0,37
1895,0.2,35
1899,0.3276,58
1900,0.2121,33
1901,0.26,50
1903,0.05,80
1904,0.2045,44
1905,0.1522,46
1906,0.1765,51
1907,0.1029,68
1908,0.2292,48
1909,0.2558,86
1910,0.1707,82
1911,0.325,80
1912,0.3867,75
1913,0.2747,91
1914,0.2182,110
1915,0.3179,151
1916,0.2017,119
1917,0.275,80
1918,0.283,106
1919,0.1928,83
1920,0.2248,129
1921,0.2467,150
1922,0.2611,157
1923,0.2447,94
1924,0.1963,107
1925,0.1912,68
1926,0.2751,189
1927,0.2778,90
1928,0.25,64
1929,0.2571,105
1930,0.2051,78
1931,0.3926,135
1932,0.2857,91
1933,0.1061,66
1934,0.1618,68
1935,0.1,110
1936,0.2615,65
1937,0.2358,106
1938,0.2571,70
1939,0.2614,88
1940,0.227,141
1941,0.2647,68
1942,0.1683,101
1943,0.1149,87
1944,0.1944,72
1945,0.2373,118
1946,0.1169,77
1947,0.1942,139
1948,0.2959,98
1949,0.1596,188
1950,0.1866,134
1951,0.1892,111
1952,0.2308,156
1953,0.2342,111
1954,0.2215,158
1955,0.2279,215
1956,0.2414,145
1957,0.1921,177
1958,0.1366,205
1959,0.1444,277
1960,0.1858,452
1961,0.2213,375
1962,0.2331,326
1963,0.229,297
1964,0.1901,242
1965,0.2093,258
1966,0.187,262
1967,0.256,250
1968,0.1777,349
1969,0.2378,286
1970,0.2448,290
1971,0.1978,268
1972,0.2,430
1973,0.2488,209
1974,0.179,229
1975,0.1726,365
1976,0.285,207
1977,0.2723,191
1978,0.3002,423
1979,0.1923,260
1980,0.1571,210
1981,0.2164,305
1982,0.207,430
1983,0.2741,270
1984,0.108,176
1985,0.1237,186
1986,0.1688,160
1987,0.1565,230
1988,0.1745,235
1989,0.1925,161
1990,0.2527,182
1991,0.2086,163
1992,0.3085,94
1993,0.1329,286
1994,0.1271,472
1995,0.1214,486
1996,0.16,225
1997,0.1469,143
1998,0.0876,251
1999,0.1429,133
2000,0.108,176
2001,0.1132,53
2002,0.0519,154
2003,0.1724,58
2004,0.1231,65
2005,0.1758,91
2006,0.1284,109
2008,0.1429,56
2009,0.1875,48
