date,ordinality,count
1836,0.3932,32
1839,0.2892,31
1840,0.4663,43
1841,0.2475,33
1844,0.2571,35
1845,0.3148,45
1846,0.2549,34
1847,0.4231,39
1849,0.3376,39
1850,0.2714,39
1851,0.376,50
1852,0.4868,38
1853,0.3082,53
1854,0.3019,45
1855,0.1837,49
1856,0.2465,48
1857,0.367,57
1858,0.2847,36
1859,0.29,46
1860,0.2997,49
1861,0.23,52
1862,0.1196,46
1864,0.2738,42
1865,0.3079,36
1866,0.2018,38
1867,0.326,34
1868,0.1423,65
1869,0.3229,48
1870,0.2371,71
1871,0.2764,41
1872,0.2164,57
1873,0.3071,55
1874,0.2119,59
1875,0.2667,60
1876,0.2007,49
1877,0.2616,72
1878,0.2345,59
1879,0.1698,63
1880,0.1693,63
1881,0.2727,55
1882,0.1086,76
1883,0.1839,54
1884,0.2028,53
1885,0.2507,49
1886,0.2249,65
1887,0.1478,53
1888,0.25,81
1889,0.3219,73
1890,0.3005,61
1891,0.2213,75
1892,0.2627,59
1893,0.2244,76
1894,0.2846,76
1895,0.2782,83
1896,0.251,80
1897,0.28,74
1898,0.2027,77
1899,0.2721,98
1900,0.2616,86
1901,0.2438,72
1902,0.2443,73
1903,0.2749,87
1904,0.2943,84
1905,0.2683,76
1906,0.2576,88
1907,0.2957,92
1908,0.3351,69
1909,0.1985,110
1910,0.2753,112
1911,0.303,77
1912,0.2081,92
1913,0.2833,88
1914,0.2594,106
1915,0.241,74
1916,0.2283,79
1917,0.1733,88
1918,0.1978,52
1919,0.3272,54
1920,0.2222,72
1921,0.2309,85
1922,0.2831,83
1923,0.3317,56
1924,0.4433,47
1925,0.2801,36
1926,0.1623,38
1927,0.2645,31
1928,0.3068,44
1929,0.4514,48
1930,0.3243,37
1931,0.3674,44
1933,0.2429,35
1935,0.2656,32
1936,0.3571,49
1938,0.3043,46
1939,0.371,31
1940,0.4231,39
1947,0.1979,32
1948,0.4194,31
1949,0.4343,33
1950,0.3939,33
1951,0.3571,35
1952,0.3421,38
1954,0.25,32
1957,0.3636,33
1958,0.4219,32
1959,0.5,33
1960,0.3939,33
1962,0.4891,46
1963,0.359,39
1964,0.4766,57
1965,0.3152,46
1966,0.4375,40
1967,0.4167,54
1968,0.4067,50
1969,0.4986,70
1970,0.3909,55
1971,0.4471,52
1972,0.3427,62
1973,0.3364,55
1974,0.4152,55
1975,0.4233,54
1976,0.5102,49
1977,0.4821,56
1978,0.5,70
1979,0.5038,66
1980,0.4787,47
1981,0.5351,57
1982,0.5431,58
1983,0.4394,66
1984,0.5511,44
1985,0.5265,63
1986,0.4381,59
1987,0.4198,79
1988,0.5068,73
1989,0.4708,80
1990,0.6078,51
1991,0.5319,47
1992,0.3618,41
1993,0.4398,67
1994,0.4478,67
1995,0.5477,64
1996,0.5469,64
1997,0.5165,65
1998,0.4489,62
1999,0.4739,69
2000,0.4757,48
2001,0.5213,47
2002,0.3943,53
2003,0.5045,56
2004,0.6458,48
2005,0.5233,43
2006,0.5682,44
