date,ordinality,count
1963,0.1818,33
1964,0.122,41
1965,0.1702,47
1966,0.0747,58
1967,0.1905,63
1968,0.1045,73
1969,0.1241,92
1970,0.0663,88
1971,0.0535,86
1972,0.0882,85
1973,0.0412,97
1974,0.099,76
1975,0.0904,83
1976,0.0556,72
1977,0.0455,99
1978,0.0526,76
1979,0.0435,69
1980,0.0339,59
1981,0.075,85
1982,0.0521,96
1983,0.0357,84
1984,0.0432,81
1985,0.0488,41
1986,0.0965,57
1987,0.1784,71
1988,0.1031,97
1989,0.0972,72
1990,0.1987,39
1993,0.1327,49
1994,0.1775,77
1995,0.0563,71
1996,0.1394,60
1997,0.0769,39
1998,0.0909,55
2005,0.2218,44
2006,0.1136,44
