date,ordinality,count
1832,0.2667,30
1833,0.3429,35
1836,0.4412,34
1838,0.2432,37
1839,0.3415,41
1841,0.2121,33
1845,0.1429,35
1847,0.3548,31
1848,0.4667,30
1850,0.3404,47
1851,0.3077,78
1852,0.2195,41
1853,0.2597,77
1854,0.2909,55
1855,0.2963,81
1856,0.2667,45
1857,0.2549,51
1858,0.12,50
1859,0.2424,66
1860,0.2857,49
1861,0.3684,57
1862,0.3019,53
1863,0.0727,55
1865,0.3158,38
1866,0.3784,37
1867,0.2308,39
1868,0.3673,49
1869,0.3167,60
1870,0.1591,44
1871,0.2031,64
1872,0.1667,48
1873,0.2549,51
1874,0.3913,46
1875,0.3051,59
1876,0.2381,42
1877,0.3607,61
1878,0.3065,62
1879,0.45,40
1880,0.2537,67
1881,0.2642,53
1882,0.448,125
1883,0.3333,66
1884,0.3542,144
1885,0.2817,71
1886,0.3077,52
1887,0.2955,44
1888,0.4286,42
1889,0.2373,59
1890,0.3043,69
1891,0.3108,74
1892,0.3733,75
1893,0.3125,64
1894,0.4079,76
1895,0.4937,79
1896,0.3425,73
1897,0.425,80
1898,0.4744,78
1899,0.2877,73
1900,0.2317,82
1901,0.2462,65
1902,0.35,100
1903,0.3676,68
1904,0.2316,95
1905,0.3594,64
1906,0.2143,98
1907,0.25,76
1908,0.2747,91
1909,0.3523,88
1910,0.25,96
1911,0.3239,71
1912,0.1988,166
1913,0.249,245
1914,0.2727,99
1915,0.2639,72
1916,0.1742,132
1917,0.1683,101
1918,0.2745,51
1919,0.1831,71
1920,0.125,152
1921,0.15,120
1922,0.2887,97
1923,0.4808,52
1924,0.1493,67
1925,0.2286,70
1926,0.3929,56
1927,0.1806,72
1928,0.16,50
1929,0.2821,117
1930,0.1339,127
1931,0.3676,68
1932,0.4082,49
1933,0.3594,64
1934,0.25,32
1935,0.4138,58
1936,0.3243,37
1937,0.2778,54
1938,0.1844,141
1939,0.3273,55
1940,0.4773,44
1941,0.1296,54
1942,0.3409,44
1943,0.3488,43
1944,0.303,33
1946,0.381,42
1947,0.32,50
1948,0.3415,41
1949,0.2667,75
1950,0.4444,54
1951,0.411,73
1952,0.3692,65
1953,0.4783,69
1954,0.3208,53
1955,0.3175,63
1956,0.3617,47
1957,0.4098,61
1958,0.2299,87
1959,0.3529,68
1960,0.3956,91
1961,0.3333,87
1962,0.3482,112
1963,0.2826,92
1964,0.3194,72
1965,0.3402,97
1966,0.3818,110
1967,0.3475,118
1968,0.3462,156
1969,0.3525,122
1970,0.3486,109
1971,0.4298,121
1972,0.3868,106
1973,0.3554,121
1974,0.2747,91
1975,0.3261,92
1976,0.2584,89
1977,0.3333,96
1978,0.3048,105
1979,0.6284,148
1980,0.463,108
1981,0.2258,93
1982,0.378,127
1983,0.2333,120
1984,0.3625,80
1985,0.4857,70
1986,0.3377,77
1987,0.2556,90
1988,0.3271,107
1989,0.37,100
1990,0.1905,84
1991,0.4189,74
1992,0.3204,103
1993,0.28,150
1994,0.3,170
1995,0.2899,138
1996,0.4128,109
1997,0.4051,79
1998,0.2967,91
1999,0.2233,103
2000,0.1392,79
2001,0.3,50
2002,0.2034,59
2003,0.4324,37
2004,0.3043,46
2005,0.3182,66
2006,0.3148,54
2007,0.2821,39
2008,0.2857,56
2009,0.2581,31
