date,ordinality,count
1963,0.5161,31
1967,0.5588,34
1968,0.5732,33
1969,0.5278,36
1970,0.5324,48
1971,0.5179,56
1972,0.5495,48
1973,0.4911,72
1974,0.569,70
1975,0.5762,82
1976,0.469,81
1977,0.4674,116
1978,0.6265,120
1979,0.4725,109
1980,0.6069,145
1981,0.709,153
1982,0.6796,133
1983,0.5868,143
1984,0.6822,150
1985,0.744,131
1986,0.6528,124
1987,0.6783,132
1988,0.627,190
1989,0.6366,171
1990,0.7017,131
1991,0.6878,122
1992,0.6532,111
1993,0.5709,149
1994,0.5938,182
1995,0.5363,167
1996,0.5952,147
1997,0.559,116
1998,0.5734,116
1999,0.501,120
2000,0.4073,84
2001,0.633,87
2002,0.4775,101
2003,0.5045,106
2004,0.4568,83
2005,0.5054,118
2006,0.4686,101
2007,0.4964,45
2008,0.5597,65
2009,0.4923,58
2010,0.3712,33
2011,0.597,33
