date,ordinality,count
1838,0.1935,31
1839,0.1,30
1849,0.0,33
1850,0.0,82
1851,0.0167,60
1852,0.0698,43
1853,0.0682,44
1854,0.029,69
1855,0.0357,56
1856,0.0488,82
1857,0.0,36
1858,0.0645,31
1860,0.0179,56
1861,0.0,40
1864,0.0333,60
1865,0.0196,51
1866,0.0377,53
1867,0.0,78
1868,0.02,50
1869,0.1064,47
1870,0.0156,64
1871,0.0286,35
1872,0.0299,67
1873,0.0,40
1874,0.0213,47
1875,0.0,39
1876,0.0,36
1877,0.0,59
1878,0.0256,39
1879,0.0727,55
1880,0.0222,45
1881,0.0169,59
1882,0.027,37
1883,0.0,36
1884,0.1111,36
1885,0.0423,71
1886,0.0,38
1887,0.0,59
1888,0.0,46
1889,0.0426,47
1890,0.0638,47
1891,0.0179,56
1892,0.0,41
1893,0.04,50
1894,0.0182,110
1895,0.0533,75
1896,0.0,41
1897,0.0556,54
1898,0.1875,32
1899,0.0571,70
1900,0.0097,103
1901,0.0385,78
1902,0.0488,41
1903,0.0494,81
1904,0.0784,51
1905,0.0755,53
1906,0.0714,70
1907,0.0563,71
1908,0.0286,35
1909,0.0435,92
1910,0.0536,56
1911,0.1607,56
1912,0.029,69
1913,0.0182,55
1914,0.0429,70
1915,0.046,87
1916,0.0,56
1917,0.0,66
1918,0.0833,60
1919,0.0678,59
1920,0.0588,51
1921,0.05,40
1922,0.1569,51
1923,0.0851,47
1928,0.0323,31
1929,0.0645,31
1930,0.0204,49
1931,0.0,35
1947,0.1163,43
1949,0.0625,32
1953,0.1333,30
1958,0.0263,38
1961,0.0811,37
1962,0.1613,31
1963,0.1429,49
1965,0.1364,44
1966,0.1042,48
1967,0.1957,46
1968,0.0682,44
1969,0.1111,54
1970,0.0526,38
1971,0.0667,45
1972,0.0597,67
1973,0.3171,41
1974,0.1071,56
1975,0.4324,37
1976,0.1905,42
1977,0.2727,55
1978,0.1951,41
1979,0.2364,55
1980,0.1695,59
1981,0.2941,34
1982,0.1404,57
1983,0.2,40
1984,0.5,36
1985,0.3158,38
1986,0.25,40
1987,0.2051,39
1988,0.5333,60
1989,0.3182,44
1990,0.2683,41
1991,0.73,100
1992,0.3696,46
1993,0.3333,99
1994,0.4685,143
1995,0.4242,66
1996,0.2903,62
1998,0.2683,41
1999,0.4048,42
2001,0.2564,39
2002,0.5227,44
2004,0.4884,43
2005,0.45,40
2006,0.5763,59
2008,0.4878,41
