date,ordinality,count
1830,0.3226,31
1832,0.2274,31
1836,0.3357,35
1839,0.2924,35
1845,0.1316,38
1846,0.304,44
1847,0.3744,42
1848,0.1925,61
1849,0.2086,42
1850,0.2648,51
1851,0.3824,51
1852,0.3618,41
1853,0.2874,66
1854,0.3065,62
1855,0.283,48
1856,0.3139,52
1857,0.3154,48
1858,0.3333,51
1859,0.2688,62
1860,0.3173,58
1864,0.3512,41
1865,0.3333,63
1866,0.3171,41
1867,0.2614,51
1868,0.3167,41
1869,0.4894,47
1870,0.3382,56
1871,0.2952,59
1872,0.4857,35
1873,0.3708,73
1874,0.4113,47
1875,0.3936,47
1876,0.1914,64
1877,0.2398,42
1878,0.3679,53
1879,0.3381,42
1880,0.2404,61
1881,0.2795,48
1882,0.3185,56
1883,0.4198,54
1884,0.2977,60
1885,0.347,61
1886,0.2417,50
1887,0.4105,54
1888,0.2929,66
1889,0.3211,68
1890,0.3761,74
1891,0.3154,65
1892,0.3056,72
1893,0.3528,77
1894,0.3164,64
1895,0.359,78
1896,0.3789,70
1897,0.3264,58
1898,0.227,58
1899,0.297,101
1900,0.2994,70
1901,0.2711,83
1902,0.3185,75
1903,0.2805,70
1904,0.2917,87
1905,0.3204,90
1906,0.3017,79
1907,0.2824,85
1908,0.3692,65
1909,0.4069,85
1910,0.2753,98
1911,0.3211,82
1912,0.3251,81
1913,0.3604,80
1914,0.353,80
1915,0.3616,80
1916,0.4289,68
1917,0.3449,72
1918,0.4025,67
1919,0.2947,75
1920,0.2791,79
1921,0.2094,78
1922,0.3833,82
1923,0.2946,43
1924,0.2836,60
1925,0.3416,78
1926,0.3241,59
1927,0.3545,70
1928,0.2533,76
1929,0.2637,79
1930,0.2762,60
1931,0.346,79
1932,0.3873,71
1933,0.2908,51
1934,0.3596,72
1935,0.3613,83
1936,0.2425,72
1937,0.3306,72
1938,0.3222,75
1939,0.2171,71
1940,0.3586,66
1941,0.309,84
1942,0.3419,75
1943,0.3218,59
1944,0.3343,54
1945,0.2603,63
1946,0.2662,65
1947,0.2951,93
1948,0.272,81
1949,0.2838,87
1950,0.2871,83
1951,0.2619,91
1952,0.3402,113
1953,0.2571,83
1954,0.2541,89
1955,0.2512,93
1956,0.3559,105
1957,0.2681,131
1958,0.4003,113
1959,0.272,154
1960,0.2426,163
1961,0.3596,161
1962,0.3307,205
1963,0.3224,201
1964,0.3197,195
1965,0.2529,210
1966,0.2611,233
1967,0.2806,217
1968,0.2907,260
1969,0.3497,232
1970,0.358,242
1971,0.3319,210
1972,0.3844,226
1973,0.3507,209
1974,0.3855,212
1975,0.2748,193
1976,0.303,148
1977,0.3254,207
1978,0.3696,184
1979,0.318,200
1980,0.326,173
1981,0.3239,188
1982,0.3448,194
1983,0.3146,197
1984,0.3413,191
1985,0.3547,162
1986,0.3526,163
1987,0.3716,223
1988,0.3052,260
1989,0.3261,213
1990,0.2949,154
1991,0.3946,138
1992,0.2925,204
1993,0.2926,272
1994,0.2913,344
1995,0.2925,338
1996,0.3245,235
1997,0.3832,194
1998,0.3058,227
1999,0.329,127
2000,0.2683,93
2001,0.3122,117
2002,0.3443,135
2003,0.3303,138
2004,0.3382,142
2005,0.3139,252
2006,0.2854,228
2007,0.2976,110
2008,0.3682,178
2009,0.352,147
2010,0.271,64
