date,ordinality,count
1834,1.0,30
1835,1.0,38
1836,1.0,37
1839,1.0,34
1842,1.0,33
1844,1.0,31
1845,1.0,53
1846,1.0,39
1847,1.0,34
1848,1.0,51
1849,1.0,47
1850,1.0,37
1851,1.0,51
1852,1.0,47
1853,1.0,49
1854,1.0,55
1855,1.0,51
1856,1.0,45
1857,1.0,60
1858,1.0,42
1859,1.0,59
1860,1.0,52
1864,1.0,52
1866,1.0,37
1867,0.9762,42
1868,1.0,44
1869,1.0,45
1871,1.0,42
1872,1.0,43
1873,1.0,33
1874,1.0,42
1875,1.0,42
1880,1.0,43
1881,1.0,30
1882,1.0,38
1883,1.0,43
1884,1.0,40
1885,1.0,35
1887,1.0,39
1888,1.0,33
1889,1.0,48
1890,1.0,43
1891,1.0,42
1892,1.0,30
1893,1.0,39
1894,1.0,33
1895,1.0,42
1896,1.0,47
1897,1.0,32
1898,1.0,40
1899,1.0,61
1900,1.0,53
1901,1.0,37
1902,0.9833,60
1903,1.0,68
1904,1.0,43
1905,1.0,43
1906,1.0,44
1907,1.0,56
1908,1.0,69
1909,1.0,52
1910,1.0,61
1911,1.0,63
1912,1.0,61
1913,1.0,63
1914,1.0,65
1915,1.0,59
1916,1.0,66
1917,1.0,46
1918,1.0,49
1919,1.0,61
1920,1.0,66
1921,0.9825,57
1922,1.0,58
1923,1.0,43
1924,1.0,38
1925,1.0,33
1926,1.0,36
1928,1.0,51
1929,1.0,32
1930,1.0,51
1931,1.0,41
1932,1.0,32
1933,1.0,45
1934,1.0,44
1935,1.0,42
1936,1.0,30
1937,1.0,61
1938,1.0,49
1939,1.0,43
1940,1.0,53
1941,1.0,51
1942,1.0,37
1943,1.0,41
1944,1.0,42
1945,1.0,35
1946,1.0,38
1947,1.0,46
1948,1.0,49
1949,1.0,53
1950,1.0,59
1951,1.0,78
1952,1.0,70
1953,1.0,42
1954,1.0,54
1955,1.0,51
1956,1.0,48
1957,1.0,75
1958,1.0,71
1959,1.0,56
1960,1.0,64
1961,1.0,85
1962,1.0,123
1963,1.0,108
1964,1.0,93
1965,0.9917,120
1966,1.0,144
1967,1.0,137
1968,1.0,143
1969,1.0,137
1970,1.0,151
1971,1.0,157
1972,1.0,142
1973,1.0,143
1974,1.0,137
1975,1.0,112
1976,1.0,150
1977,1.0,177
1978,1.0,168
1979,1.0,154
1980,1.0,140
1981,1.0,158
1982,1.0,197
1983,1.0,191
1984,1.0,140
1985,1.0,113
1986,1.0,103
1987,1.0,152
1988,1.0,178
1989,1.0,157
1990,1.0,106
1991,1.0,90
1992,1.0,123
1993,1.0,344
1994,1.0,372
1995,1.0,266
1996,1.0,183
1997,1.0,100
1998,0.9921,126
1999,1.0,76
2000,1.0,73
2001,1.0,85
2002,1.0,84
2003,1.0,76
2004,1.0,108
2005,1.0,143
2006,1.0,109
2007,1.0,53
2008,1.0,100
2009,1.0,79
2010,1.0,33
