date,ordinality,count
1828,0.9549,48
1829,0.9238,35
1830,0.8964,37
1831,1.0,32
1832,0.9255,47
1833,0.973,37
1834,0.9057,41
1835,0.9183,52
1836,0.9745,49
1837,0.9444,45
1838,0.9504,47
1839,0.9339,58
1840,0.9818,55
1841,0.9167,48
1842,0.9457,43
1843,0.9184,53
1844,0.9249,71
1845,0.9203,69
1846,0.9673,79
1847,0.8956,65
1848,0.9272,84
1849,0.9755,68
1850,0.9162,87
1851,0.9382,89
1852,0.9722,72
1853,0.9381,97
1854,0.9511,116
1855,0.9236,91
1856,0.9591,89
1857,0.9042,83
1858,0.9259,63
1859,0.9375,96
1860,0.9428,99
1861,0.8968,63
1862,0.9926,34
1863,0.9778,45
1864,0.9744,52
1865,0.9474,57
1866,0.9661,59
1867,0.8667,60
1868,0.9508,66
1869,0.9448,86
1870,0.9434,53
1871,0.913,69
1872,0.9458,60
1873,0.9756,41
1874,0.9706,34
1875,0.9816,62
1876,0.9337,49
1877,0.9783,46
1878,0.9071,52
1879,0.984,47
1880,0.9851,67
1881,0.9524,56
1882,0.9706,51
1883,0.9583,40
1884,0.9568,54
1885,0.9205,44
1886,0.9698,55
1888,0.9429,70
1889,0.9637,62
1890,0.9643,56
1891,0.9333,45
1892,0.9298,57
1893,0.9455,55
1894,0.9667,60
1895,0.9621,66
1896,0.9825,57
1897,0.9296,71
1898,0.9787,47
1899,0.9729,86
1900,0.9552,67
1901,0.8947,57
1902,0.8969,65
1903,0.8968,63
1904,0.9348,46
1905,0.9444,54
1906,0.9,60
1907,0.9674,46
1908,0.8772,57
1909,0.9661,59
1910,0.9071,61
1911,0.8333,45
1912,0.9625,40
1913,0.9732,56
1914,0.9163,49
1915,0.9098,38
1916,0.9118,34
1917,0.9167,42
1918,0.9677,31
1919,0.9365,42
1920,0.9787,47
1921,0.9583,36
1922,0.8974,39
1950,0.8636,33
1952,0.88,35
1958,0.8824,34
1959,0.8889,36
1960,0.8889,45
1961,0.9545,33
1962,0.8387,31
1963,0.8772,38
1966,0.913,46
1967,0.9412,34
1968,0.8462,39
1969,0.8994,53
1970,0.9737,38
1971,0.8646,32
1972,0.9535,43
1973,0.8529,34
1974,0.8519,36
1979,0.9545,33
1980,0.9722,36
1982,0.9167,36
1984,0.8486,37
1989,0.8718,39
1993,0.9033,50
1994,0.7821,39
1995,0.8224,38
1996,0.8175,42
