date,ordinality,count
1957,0.3788,33
1959,0.4091,33
1960,0.3431,34
1961,0.2714,35
1962,0.4186,43
1963,0.625,32
1964,0.5147,34
1966,0.4048,42
1967,0.4884,43
1968,0.5,44
1969,0.5455,44
1970,0.3644,59
1971,0.413,46
1972,0.3913,46
1973,0.4,55
1974,0.4611,45
1975,0.5132,57
1977,0.5673,52
1978,0.5385,39
1980,0.5431,58
1981,0.4118,34
1982,0.5194,43
1983,0.4887,38
1984,0.5513,39
1985,0.4459,37
1986,0.5132,38
1987,0.45,40
1988,0.4298,57
1992,0.4412,34
1993,0.383,47
1994,0.4298,57
1995,0.5,45
1996,0.3333,36
1997,0.5781,32
1998,0.5772,41
2005,0.5262,43
2006,0.4884,43
2008,0.4583,32
