date,ordinality,count
1854,0.05,40
1856,0.0,43
1860,0.0,37
1870,0.0323,31
1871,0.0395,38
1873,0.0649,37
1874,0.0571,35
1875,0.1375,40
1884,0.125,32
1887,0.1694,31
1891,0.129,31
1895,0.2353,34
1897,0.2838,37
1899,0.1212,33
1901,0.2432,37
1903,0.2125,40
1904,0.1429,35
1905,0.2024,36
1906,0.197,33
1907,0.1116,56
1908,0.2429,35
1909,0.1346,52
1911,0.0556,36
1912,0.1627,42
1913,0.2245,49
1914,0.1286,46
1915,0.1282,52
1916,0.0976,41
1917,0.1,40
1919,0.2995,37
1920,0.2955,44
1921,0.2123,47
1922,0.3111,48
1927,0.2365,33
1931,0.3243,37
1941,0.1282,39
1950,0.0938,32
1952,0.1958,40
1954,0.1875,32
1958,0.1485,33
1959,0.1686,34
1962,0.0512,33
1963,0.2432,37
1965,0.2209,43
1966,0.2372,39
1967,0.1596,47
1968,0.2311,44
1969,0.1613,62
1970,0.1135,47
1971,0.1327,54
1972,0.2963,45
1973,0.1146,56
1974,0.2286,49
1975,0.4006,50
1976,0.2273,33
1977,0.2986,48
1978,0.2514,35
1979,0.2188,32
1980,0.3771,35
1981,0.3382,51
1982,0.6711,112
1983,0.9354,469
1984,0.6768,82
1985,0.4784,54
1986,0.4884,72
1987,0.4213,54
1988,0.3716,61
1989,0.3306,60
1990,0.3642,51
1992,0.4688,32
1993,0.4458,40
1994,0.2955,55
1995,0.3598,55
1996,0.2686,53
1997,0.2562,46
1998,0.1919,43
