date,ordinality,count
1812,0.0811,37
1813,0.0,36
1814,0.0625,32
1815,0.0625,32
1824,0.0278,36
1825,0.0286,35
1826,0.0625,48
1829,0.1176,34
1830,0.1087,46
1831,0.0,43
1832,0.0,53
1833,0.0606,66
1834,0.0517,58
1835,0.0,68
1836,0.0645,62
1837,0.0149,67
1838,0.0882,68
1839,0.0658,76
1840,0.0685,73
1841,0.0294,68
1842,0.0851,47
1843,0.0984,61
1844,0.0357,84
1845,0.0213,94
1846,0.0472,106
1847,0.05,100
1848,0.0603,116
1849,0.0476,126
1850,0.0254,118
1851,0.0562,89
1852,0.0455,132
1853,0.0696,115
1854,0.0325,123
1855,0.036,139
1856,0.0977,133
1857,0.0407,123
1858,0.0333,90
1859,0.0588,153
1860,0.0948,116
1861,0.0476,63
1862,0.127,63
1863,0.0326,92
1864,0.1159,69
1865,0.0909,55
1866,0.037,108
1867,0.0246,122
1868,0.0792,101
1869,0.051,98
1870,0.0458,153
1871,0.066,106
1872,0.0854,82
1873,0.0568,88
1874,0.0676,74
1875,0.0694,72
1876,0.0784,51
1877,0.0909,77
1878,0.025,80
1879,0.1059,85
1880,0.0811,74
1881,0.069,58
1882,0.1081,74
1883,0.0211,95
1884,0.0588,85
1885,0.1,60
1886,0.025,80
1887,0.0476,63
1888,0.1235,81
1889,0.129,93
1890,0.0814,86
1891,0.193,57
1892,0.0909,66
1893,0.0857,70
1894,0.0405,74
1895,0.1216,74
1896,0.05,60
1897,0.1579,57
1898,0.0779,77
1899,0.045,111
1900,0.1017,59
1901,0.1605,81
1902,0.0548,73
1903,0.12,100
1904,0.1429,56
1905,0.082,61
1906,0.0946,74
1907,0.1176,85
1908,0.1978,91
1909,0.1358,81
1910,0.1385,65
1911,0.0465,86
1912,0.0882,68
1913,0.119,84
1914,0.1286,70
1915,0.1967,61
1916,0.1224,49
1917,0.1373,51
1918,0.2727,33
1919,0.1944,36
1920,0.0862,58
1921,0.0294,68
1922,0.1071,56
1923,0.1064,47
1924,0.0,31
1925,0.0667,30
1927,0.125,32
1928,0.1429,49
1929,0.2424,33
1930,0.0323,31
1931,0.1471,34
1934,0.1905,42
1938,0.2188,32
1939,0.1818,33
1942,0.1667,30
1947,0.1489,47
1948,0.1316,38
1949,0.0702,57
1950,0.1111,45
1951,0.1538,39
1952,0.1385,65
1953,0.2308,39
1954,0.2308,39
1955,0.16,50
1956,0.0435,46
1957,0.1094,64
1958,0.0909,66
1959,0.0357,84
1960,0.0941,85
1961,0.0556,72
1962,0.1163,86
1963,0.058,69
1964,0.1236,89
1965,0.0641,78
1966,0.1136,88
1967,0.1111,90
1968,0.1026,117
1969,0.1024,127
1970,0.0862,116
1971,0.1368,95
1972,0.1356,118
1973,0.2198,91
1974,0.2346,81
1975,0.1493,67
1976,0.1754,57
1977,0.0769,52
1978,0.043,93
1979,0.1446,83
1980,0.1633,49
1981,0.0988,81
1982,0.0875,80
1983,0.1045,67
1984,0.1233,73
1985,0.0612,49
1986,0.1842,38
1987,0.1019,108
1988,0.1579,95
1989,0.1494,87
1990,0.0385,52
1991,0.1404,57
1992,0.2321,56
1993,0.0734,218
1994,0.114,193
1995,0.1679,131
1996,0.0794,63
1997,0.1569,51
1998,0.1111,36
1999,0.0811,37
2001,0.1471,34
2002,0.04,50
2005,0.1579,76
2006,0.24,50
2008,0.1139,79
