date,ordinality,count
1907,0.799,34
1909,0.7207,37
1910,0.7625,40
1911,0.6481,36
1912,0.7143,35
1913,0.7344,32
1914,0.9167,36
1915,0.6857,35
1916,0.75,40
1917,0.7316,34
1919,0.5833,36
1920,0.7162,37
1922,0.8243,46
1938,0.7476,35
1940,0.7635,37
1947,0.7306,43
1948,0.8314,43
1949,0.641,39
1950,0.7984,43
1951,0.697,33
1952,0.6389,36
1953,0.5385,39
1954,0.7432,37
1955,0.8267,50
1956,0.6024,42
1957,0.6038,45
1958,0.7091,55
1959,0.7333,50
1960,0.6408,58
1961,0.6889,45
1962,0.6809,47
1963,0.6717,52
1964,0.75,47
1965,0.5952,42
1966,0.7041,49
1967,0.6389,54
1968,0.6231,65
1969,0.7232,59
1970,0.6127,71
1971,0.5876,78
1972,0.6435,97
1973,0.5675,84
1974,0.6197,117
1975,0.5108,123
1976,0.6346,150
1977,0.6218,143
1978,0.6379,145
1979,0.6402,167
1980,0.6542,159
1981,0.5867,188
1982,0.6525,176
1983,0.6908,145
1984,0.6383,135
1985,0.5981,124
1986,0.5561,107
1987,0.5365,137
1988,0.5472,187
1989,0.635,137
1990,0.6111,105
1991,0.5878,112
1992,0.6429,112
1993,0.6463,135
1994,0.6141,155
1995,0.6603,159
1996,0.6191,142
1997,0.6627,125
1998,0.6316,114
1999,0.7357,99
2000,0.6587,92
2001,0.7076,98
2002,0.6477,101
2003,0.6142,101
2004,0.6493,99
2005,0.6655,142
2006,0.6841,127
2007,0.7727,55
2008,0.7,70
2009,0.7338,77
2010,0.5859,33
2011,0.7095,37
