date,ordinality,count
1957,0.0,31
1962,0.0,33
1963,0.0,41
1964,0.0,45
1965,0.0,42
1966,0.0,37
1967,0.0,42
1968,0.0,60
1969,0.0,41
1970,0.0,63
1971,0.0,59
1972,0.0,57
1973,0.0,68
1974,0.0,94
1975,0.0,72
1976,0.0,83
1977,0.0,74
1978,0.0,90
1979,0.0,84
1980,0.0,71
1981,0.0,79
1982,0.0,95
1983,0.0,102
1984,0.0,84
1985,0.0128,78
1986,0.0,83
1987,0.0,86
1988,0.0,114
1989,0.0,87
1990,0.0,57
1991,0.0,70
1992,0.0,63
1993,0.0,86
1994,0.0,134
1995,0.0,108
1996,0.0,86
1997,0.0161,62
1998,0.0,83
1999,0.0,61
2001,0.0,37
2002,0.0,45
2003,0.0,39
2004,0.0,48
2005,0.0,65
2006,0.0,52
2007,0.0,38
2008,0.0,37
