date,ordinality,count
1965,0.108,32
1966,0.25,32
1967,0.1705,31
1968,0.1381,55
1969,0.1014,53
1970,0.17,52
1971,0.2214,78
1972,0.1919,74
1973,0.1395,85
1974,0.2533,104
1975,0.149,125
1976,0.176,100
1977,0.2398,115
1978,0.1992,141
1979,0.2104,130
1980,0.1651,108
1981,0.1607,146
1982,0.2163,151
1983,0.1833,179
1984,0.2545,161
1985,0.1733,122
1986,0.2143,84
1987,0.1914,149
1988,0.2386,220
1989,0.236,146
1990,0.1503,105
1991,0.173,78
1992,0.3036,99
1993,0.2656,116
1994,0.2823,189
1995,0.2802,183
1996,0.2473,148
1997,0.2173,83
1998,0.2819,84
1999,0.1723,59
2000,0.2805,41
2001,0.287,36
2002,0.2881,40
2003,0.1023,44
2004,0.2151,43
2005,0.3035,57
2006,0.3136,76
2007,0.2738,42
