date,ordinality,count
1835,0.4948,32
1836,0.4167,36
1837,0.4095,35
1838,0.3795,39
1839,0.4701,39
1840,0.2738,42
1841,0.422,47
1842,0.4399,32
1843,0.2183,37
1844,0.35,50
1845,0.3485,65
1846,0.4731,65
1847,0.3893,67
1848,0.3187,80
1849,0.3247,80
1850,0.3693,88
1851,0.1966,103
1852,0.2883,110
1853,0.3184,134
1854,0.3002,137
1855,0.2915,120
1856,0.3225,173
1857,0.3145,133
1858,0.373,84
1859,0.2853,154
1860,0.3403,144
1861,0.3004,115
1862,0.3339,101
1863,0.2984,94
1864,0.3962,114
1865,0.3044,118
1866,0.3951,109
1867,0.3541,110
1868,0.3518,137
1869,0.3299,160
1870,0.3754,148
1871,0.3624,152
1872,0.2964,149
1873,0.3888,147
1874,0.3703,151
1875,0.4455,130
1876,0.3693,169
1877,0.3794,141
1878,0.3976,159
1879,0.4214,172
1880,0.4381,204
1881,0.3449,197
1882,0.424,222
1883,0.3691,221
1884,0.3539,259
1885,0.3856,208
1886,0.3339,217
1887,0.4185,235
1888,0.3853,249
1889,0.4095,285
1890,0.3551,295
1891,0.382,296
1892,0.3678,314
1893,0.3355,297
1894,0.4269,314
1895,0.3966,360
1896,0.4033,329
1897,0.3866,305
1898,0.4882,392
1899,0.4054,443
1900,0.4331,411
1901,0.3658,384
1902,0.3594,361
1903,0.3899,418
1904,0.42,418
1905,0.3949,397
1906,0.4096,375
1907,0.3824,417
1908,0.397,473
1909,0.3693,439
1910,0.3851,452
1911,0.3715,428
1912,0.3422,494
1913,0.4387,484
1914,0.3878,478
1915,0.3804,423
1916,0.3237,460
1917,0.381,454
1918,0.3825,398
1919,0.4164,441
1920,0.3982,501
1921,0.3493,410
1922,0.3968,494
1923,0.3865,323
1924,0.3632,334
1925,0.4053,356
1926,0.3586,326
1927,0.3858,378
1928,0.3523,371
1929,0.3947,395
1930,0.3455,384
1931,0.3874,393
1932,0.3506,346
1933,0.3363,325
1934,0.362,325
1935,0.3706,352
1936,0.4121,384
1937,0.3563,406
1938,0.3816,394
1939,0.3971,426
1940,0.3661,363
1941,0.4204,331
1942,0.3378,344
1943,0.4461,272
1944,0.4209,291
1945,0.4144,344
1946,0.4358,439
1947,0.4358,468
1948,0.4225,464
1949,0.4064,486
1950,0.3769,536
1951,0.3911,436
1952,0.4216,459
1953,0.4141,463
1954,0.4266,464
1955,0.3994,524
1956,0.4528,534
1957,0.3946,592
1958,0.4493,543
1959,0.4418,621
1960,0.4193,702
1961,0.4057,681
1962,0.4216,850
1963,0.3912,899
1964,0.4174,948
1965,0.4258,978
1966,0.4175,1029
1967,0.4174,1127
1968,0.4222,1174
1969,0.3822,1238
1970,0.4213,1303
1971,0.4035,1291
1972,0.4036,1268
1973,0.4562,1234
1974,0.4058,1179
1975,0.4093,1065
1976,0.4266,910
1977,0.422,1101
1978,0.4266,1095
1979,0.4381,1088
1980,0.3997,970
1981,0.4164,1134
1982,0.4192,1179
1983,0.385,1219
1984,0.4016,1060
1985,0.4077,880
1986,0.4209,867
1987,0.4147,1141
1988,0.3956,1449
1989,0.4371,1127
1990,0.4274,729
1991,0.411,662
1992,0.4489,900
1993,0.4128,1418
1994,0.4078,1847
1995,0.4229,1709
1996,0.4148,1220
1997,0.4065,902
1998,0.4531,1116
1999,0.4155,607
2000,0.4552,544
2001,0.4254,623
2002,0.3957,791
2003,0.3964,680
2004,0.3837,777
2005,0.4122,1313
2006,0.4484,1168
2007,0.4318,550
2008,0.4321,966
2009,0.4359,695
2010,0.4291,284
2011,0.3828,122
2012,0.3886,79
2013,0.3833,54
2014,0.4805,58
2015,0.5066,38
