date,ordinality,count
1957,0.0,31
1958,0.0,39
1959,0.0,42
1960,0.0,34
1961,0.0,55
1962,0.0,48
1963,0.0,53
1964,0.0,62
1965,0.0,66
1966,0.0,76
1967,0.0,65
1968,0.0,97
1969,0.0,68
1970,0.0,79
1971,0.0,89
1972,0.0,87
1973,0.0,81
1974,0.0,82
1975,0.0,63
1976,0.0,45
1977,0.0,67
1978,0.0,66
1979,0.0,76
1980,0.0,59
1981,0.0,73
1982,0.0,63
1983,0.0,79
1984,0.0,72
1985,0.0,72
1986,0.0,79
1987,0.0,103
1988,0.0,127
1989,0.0,93
1990,0.0,82
1991,0.0,46
1992,0.0,72
1993,0.0,89
1994,0.0,130
1995,0.0,134
1996,0.0,113
1997,0.0,90
1998,0.0,87
1999,0.0,44
2000,0.0,52
2001,0.0,49
2002,0.0,53
2003,0.0,51
2004,0.0,43
2005,0.0,91
2006,0.0,90
2007,0.0,47
2008,0.0,67
2009,0.0,61
