date,ordinality,count
1881,0.4306,36
1884,0.4861,36
1887,0.4583,36
1888,0.3209,37
1889,0.4479,32
1891,0.4688,32
1894,0.317,34
1895,0.3674,40
1897,0.4401,34
1898,0.3582,38
1899,0.2893,33
1900,0.4103,39
1901,0.4068,44
1902,0.4192,33
1903,0.4149,44
1904,0.2323,47
1905,0.4305,41
1906,0.5018,47
1907,0.5245,45
1908,0.3844,49
1909,0.3948,56
1910,0.4,46
1911,0.3567,57
1912,0.4311,66
1913,0.4932,82
1914,0.4029,72
1915,0.4817,60
1916,0.5444,60
1917,0.4012,71
1918,0.4203,46
1919,0.431,64
1920,0.558,46
1921,0.4619,44
1922,0.4104,69
1923,0.3679,31
1924,0.3796,39
1925,0.3021,32
1926,0.4115,32
1931,0.2944,33
1937,0.3871,33
1940,0.3807,44
1941,0.2847,48
1942,0.3364,35
1943,0.3049,34
1946,0.3333,39
1947,0.367,47
1948,0.3368,48
1949,0.3365,52
1950,0.2411,47
1951,0.3718,49
1952,0.3199,48
1953,0.4014,49
1954,0.3332,53
1955,0.3844,61
1956,0.2733,37
1957,0.3194,36
1958,0.1731,52
1959,0.2024,63
1960,0.1427,96
1961,0.151,102
1962,0.1765,119
1963,0.1934,106
1964,0.2658,74
1965,0.2367,80
1966,0.2294,93
1967,0.3548,93
1968,0.2819,68
1969,0.26,75
1970,0.3013,78
1971,0.3905,70
1972,0.3254,63
1973,0.2919,79
1974,0.269,70
1975,0.2059,68
1976,0.2923,65
1977,0.3517,86
1978,0.2313,107
1979,0.2105,112
1980,0.4198,81
1981,0.2765,113
1982,0.264,125
1983,0.2237,119
1984,0.3048,126
1985,0.2972,90
1986,0.2403,97
1987,0.2712,105
1988,0.2531,128
1989,0.314,121
1990,0.4143,92
1991,0.3217,74
1992,0.2378,96
1993,0.1999,110
1994,0.2362,210
1995,0.2458,169
1996,0.2778,153
1997,0.3989,94
1998,0.2955,121
1999,0.3561,82
2000,0.4143,70
2001,0.3026,76
2002,0.2261,82
2003,0.4167,93
2004,0.309,72
2005,0.2526,119
2006,0.237,109
2007,0.3113,53
2008,0.2333,70
2009,0.3,50
