date,ordinality,count
1959,0.7424,33
1965,0.5,32
1966,0.6667,33
1967,0.6576,46
1968,0.5943,58
1969,0.8956,166
1970,0.735,78
1971,0.6438,73
1972,0.6567,67
1973,0.5916,81
1974,0.7411,96
1975,0.6254,93
1976,0.6635,94
1977,0.6796,113
1978,0.5748,131
1979,0.6503,138
1980,0.7505,174
1981,0.6187,158
1982,0.6187,158
1983,0.6971,165
1984,0.848,310
1985,0.7034,215
1986,0.6444,198
1987,0.6279,221
1988,0.6686,253
1989,0.7419,284
1990,0.6926,192
1991,0.645,185
1992,0.7266,168
1993,0.6583,269
1994,0.7669,435
1995,0.6732,332
1996,0.6977,295
1997,0.7508,254
1998,0.7406,220
1999,0.8041,211
2000,0.7244,176
2001,0.7285,182
2002,0.6878,162
2003,0.685,171
2004,0.7437,114
2005,0.6885,156
2006,0.7209,180
2007,0.7596,96
2008,0.708,109
2009,0.6767,100
2010,0.8556,43
2011,0.7121,33
