date,ordinality,count
1902,0.0,31
1909,0.0,32
1912,0.0,31
1914,0.0,36
1915,0.0,37
1916,0.0,43
1920,0.0,40
1950,0.0,33
1951,0.0,33
1952,0.0,36
1956,0.0,31
1957,0.0,32
1958,0.0,31
1959,0.0,39
1960,0.0,43
1961,0.0,53
1962,0.0,55
1963,0.0159,63
1964,0.0204,49
1965,0.0,76
1966,0.0,62
1967,0.0,74
1968,0.0,65
1969,0.0,72
1970,0.0145,69
1971,0.0,91
1972,0.0,99
1973,0.0,91
1974,0.0,90
1975,0.0,94
1976,0.0,81
1977,0.0094,106
1978,0.0,109
1979,0.0091,110
1980,0.0,83
1981,0.0,83
1982,0.0,84
1983,0.0024,70
1984,0.0,82
1985,0.0,80
1986,0.0,63
1987,0.0007,93
1988,0.0019,90
1989,0.0,74
1990,0.0,65
1991,0.0,60
1992,0.0,80
1993,0.0,105
1994,0.0,130
1995,0.0012,101
1996,0.0,103
1997,0.0,61
1998,0.0,51
1999,0.0,50
2000,0.0,60
2001,0.0,54
2002,0.0,66
2003,0.0192,52
2004,0.0,65
2005,0.0,76
2006,0.0,53
2007,0.0,57
2008,0.0,40
