date,ordinality,count
1882,1.0,33
1887,0.9688,32
1892,0.9167,36
1893,0.8235,34
1894,0.951,34
1895,0.8333,33
1896,0.9167,36
1897,1.0,33
1898,0.9211,38
1899,0.7879,33
1900,0.9592,49
1901,0.939,41
1902,0.8667,45
1903,0.9444,36
1904,0.9756,41
1905,0.9667,45
1906,0.9,50
1908,0.8644,59
1909,0.9405,42
1910,0.9216,51
1911,0.9721,43
1912,0.9085,41
1913,0.9623,53
1914,0.9712,52
1915,0.8812,40
1916,0.8722,45
1917,0.9219,48
1918,0.9457,43
1919,1.0,41
1920,0.873,63
1921,0.9524,42
1922,0.8525,46
1927,0.9242,33
1928,0.9394,33
1929,0.9032,31
1930,0.9355,31
1931,0.8906,32
1932,0.8143,35
1936,0.875,32
1937,0.9535,43
1938,0.8919,37
1939,0.8158,38
1940,0.8472,54
1941,0.8952,35
1942,0.9355,31
1946,0.9306,36
1947,0.8333,36
1949,0.9062,32
1950,0.9048,42
1952,0.9706,34
1953,0.7419,31
1954,0.8771,43
1955,0.8868,53
1956,0.8049,41
1957,0.9634,41
1958,0.8958,48
1959,0.9286,42
1960,0.8564,47
1961,0.8564,65
1962,0.8295,44
1963,0.8438,64
1964,0.8983,59
1965,0.8919,74
1966,0.8534,58
1967,0.9412,68
1968,0.8052,77
1969,0.9041,83
1970,0.8732,71
1971,0.9321,97
1972,0.8574,67
1973,0.8854,88
1974,0.8254,88
1975,0.818,87
1976,0.7588,76
1977,0.8608,79
1978,0.8386,95
1979,0.9011,91
1980,0.9232,89
1981,0.8526,78
1982,0.9033,81
1983,0.9259,63
1984,0.8297,80
1985,0.8889,84
1986,0.7857,70
1987,0.8313,83
1988,0.8413,94
1989,0.8435,90
1990,0.8714,70
1991,0.7778,66
1992,0.8309,69
1993,0.8576,103
1994,0.7988,82
1995,0.8526,95
1996,0.8533,75
1997,0.8286,70
1998,0.8586,66
1999,0.8678,61
2000,0.7872,47
2001,0.875,48
2002,0.9107,56
2003,0.84,50
2004,0.8298,47
2005,0.8746,67
2006,0.8226,62
2008,0.7358,47
2009,0.8703,37
