date,ordinality,count
1829,0.0,30
1839,0.0,35
1840,0.0606,33
1843,0.125,32
1844,0.1212,33
1845,0.0732,41
1846,0.0556,54
1847,0.0455,44
1848,0.12,50
1849,0.0,48
1850,0.0161,62
1851,0.0588,51
1852,0.0758,66
1853,0.0667,90
1854,0.1158,95
1855,0.0333,60
1856,0.0377,106
1857,0.0532,94
1858,0.0192,52
1859,0.0968,62
1860,0.0526,76
1861,0.0625,32
1862,0.0682,44
1863,0.0476,42
1864,0.1077,65
1865,0.1071,56
1866,0.1127,71
1867,0.0824,85
1868,0.0833,84
1869,0.023,87
1870,0.0581,86
1871,0.1183,93
1872,0.0778,90
1873,0.08,75
1874,0.0545,55
1875,0.0267,75
1876,0.0685,73
1877,0.0448,67
1878,0.0617,81
1879,0.0274,73
1880,0.037,108
1881,0.0449,89
1882,0.1068,103
1883,0.0789,114
1884,0.1121,107
1885,0.0648,108
1886,0.1011,89
1887,0.113,115
1888,0.0987,152
1889,0.0563,142
1890,0.0385,130
1891,0.1136,132
1892,0.0479,146
1893,0.0254,118
1894,0.08,100
1895,0.073,137
1896,0.0725,138
1897,0.0791,139
1898,0.0382,157
1899,0.0674,178
1900,0.0903,144
1901,0.0461,152
1902,0.1042,144
1903,0.0602,166
1904,0.064,125
1905,0.0556,144
1906,0.0495,182
1907,0.0977,133
1908,0.0735,136
1909,0.0895,190
1910,0.0663,196
1911,0.0769,156
1912,0.0904,166
1913,0.0637,157
1914,0.066,197
1915,0.0775,129
1916,0.0556,126
1917,0.0741,135
1918,0.0841,107
1919,0.0984,122
1920,0.0465,129
1921,0.0811,111
1922,0.0515,136
1923,0.0645,93
1924,0.0886,79
1925,0.0833,96
1926,0.0412,97
1927,0.087,138
1928,0.0636,110
1929,0.1167,120
1930,0.0513,117
1931,0.0274,73
1932,0.0471,85
1933,0.1528,72
1934,0.0549,91
1935,0.0543,92
1936,0.0513,117
1937,0.1524,105
1938,0.069,87
1939,0.051,98
1940,0.1635,104
1941,0.1169,77
1942,0.0426,94
1943,0.1139,79
1944,0.0694,72
1945,0.194,67
1946,0.0787,89
1947,0.0652,138
1948,0.102,98
1949,0.0476,105
1950,0.0495,101
1951,0.0568,88
1952,0.0545,110
1953,0.0667,105
1954,0.0684,117
1955,0.0968,93
1956,0.0566,106
1957,0.1066,122
1958,0.098,102
1959,0.0602,133
1960,0.0408,147
1961,0.0563,142
1962,0.0576,139
1963,0.0966,145
1964,0.0259,116
1965,0.0465,129
1966,0.1014,148
1967,0.0468,171
1968,0.0875,160
1969,0.0741,162
1970,0.102,147
1971,0.0667,120
1972,0.0861,151
1973,0.0556,180
1974,0.0909,154
1975,0.025,160
1976,0.0583,103
1977,0.0513,117
1978,0.1071,140
1979,0.0949,137
1980,0.0938,96
1981,0.0567,141
1982,0.0515,136
1983,0.0671,164
1984,0.0496,141
1985,0.0826,109
1986,0.0842,95
1987,0.0884,147
1988,0.0982,163
1989,0.1133,150
1990,0.0648,108
1991,0.0753,93
1992,0.1324,136
1993,0.055,291
1994,0.0337,415
1995,0.0534,262
1996,0.0878,148
1997,0.0588,119
1998,0.0833,108
1999,0.0361,83
2000,0.1154,52
2001,0.0492,61
2002,0.0789,76
2003,0.0492,61
2004,0.1486,74
2005,0.1156,147
2006,0.0721,111
2007,0.0667,60
2008,0.0909,88
2009,0.0294,68
