date,ordinality,count
1952,0.7034,34
1953,0.5923,37
1954,0.7361,47
1955,0.6535,35
1956,0.7951,34
1957,0.599,35
1958,0.8069,42
1959,0.7272,47
1960,0.7417,40
1961,0.8333,49
1962,0.7121,44
1963,0.7424,69
1964,0.5795,44
1965,0.708,58
1966,0.7278,60
1967,0.7159,79
1968,0.7283,58
1969,0.7833,75
1970,0.7331,71
1971,0.6629,69
1972,0.7827,74
1973,0.6651,77
1974,0.6771,80
1975,0.8146,82
1976,0.7534,74
1977,0.6782,98
1978,0.7355,133
1979,0.7412,106
1980,0.7,101
1981,0.6781,101
1982,0.7715,134
1983,0.7027,132
1984,0.7096,106
1985,0.7384,106
1986,0.7928,76
1987,0.7114,112
1988,0.6751,132
1989,0.7495,116
1990,0.6986,71
1991,0.6962,65
1992,0.6876,80
1993,0.7423,113
1994,0.7424,139
1995,0.7204,124
1996,0.7357,83
1997,0.8077,74
1998,0.7075,93
1999,0.7475,61
2000,0.6785,35
2001,0.8185,51
2002,0.7273,44
2003,0.6667,49
2004,0.746,42
2005,0.815,50
2006,0.5852,45
