date,ordinality,count
1959,0.3561,44
1960,0.3144,44
1961,0.3837,48
1962,0.3939,50
1963,0.3311,66
1964,0.4646,58
1965,0.4056,65
1966,0.3414,72
1967,0.3244,100
1968,0.4985,71
1969,0.449,74
1970,0.3876,103
1971,0.5058,83
1972,0.5009,87
1973,0.4617,73
1974,0.467,77
1975,0.4974,66
1976,0.6495,69
1977,0.5126,76
1978,0.619,73
1979,0.5846,65
1980,0.6121,80
1981,0.5959,85
1982,0.6331,66
1983,0.6232,80
1984,0.5674,66
1985,0.6556,91
1986,0.6226,86
1987,0.5004,122
1988,0.6318,78
1989,0.6322,59
1990,0.4714,35
1991,0.4745,36
1992,0.6375,95
1993,0.6194,127
1994,0.5355,108
1995,0.4948,99
1996,0.6075,61
1997,0.5962,39
1998,0.6389,42
1999,0.5366,41
2000,0.4496,47
2001,0.6348,65
2002,0.5242,126
2003,0.4983,62
2004,0.6257,84
2005,0.481,81
2006,0.5019,62
2007,0.5714,46
2008,0.5617,60
