date,ordinality,count
1974,0.2576,33
1975,0.3649,54
1977,0.3636,58
1978,0.4071,61
1979,0.4149,86
1980,0.32,50
1981,0.3573,66
1982,0.4498,77
1983,0.2993,93
1984,0.4003,84
1985,0.3757,64
1986,0.2479,46
1987,0.3939,44
1988,0.3835,101
1989,0.3641,63
1990,0.3468,54
1991,0.1935,31
1992,0.3771,39
1993,0.4438,61
1994,0.3781,118
1995,0.323,125
1996,0.3201,123
1997,0.34,60
1998,0.3284,77
1999,0.2958,63
2000,0.4977,40
2001,0.2891,50
2002,0.3024,35
2003,0.3564,48
2004,0.2981,39
2005,0.2959,49
2006,0.3064,77
2007,0.37,39
2008,0.4042,35
2010,0.375,32
