date,ordinality,count
1960,0.4048,35
1961,0.5698,43
1962,0.5045,48
1963,0.695,37
1964,0.6318,43
1965,0.617,47
1966,0.6429,56
1967,0.599,61
1968,0.5275,91
1969,0.5935,82
1970,0.5852,88
1971,0.4712,81
1972,0.5521,94
1973,0.6173,98
1974,0.6203,114
1975,0.5309,89
1976,0.4803,89
1977,0.553,132
1978,0.5917,109
1979,0.4899,124
1980,0.5487,120
1981,0.4173,125
1982,0.4976,139
1983,0.5141,130
1984,0.4709,141
1985,0.5003,114
1986,0.4141,129
1987,0.5084,161
1988,0.4673,165
1989,0.518,142
1990,0.5399,92
1991,0.4724,98
1992,0.612,108
1993,0.5232,168
1994,0.5504,197
1995,0.4376,207
1996,0.5203,156
1997,0.5047,100
1998,0.4922,129
1999,0.5328,61
2000,0.4842,74
2001,0.5315,74
2002,0.5298,84
2003,0.3988,84
2004,0.5,78
2005,0.4992,127
2006,0.4722,126
2007,0.5286,56
2008,0.483,88
2009,0.4099,55
