date,ordinality,count
1850,0.1538,39
1851,0.2,50
1852,0.2679,56
1853,0.2656,64
1854,0.3793,58
1856,0.1111,36
1857,0.1622,37
1859,0.3676,68
1860,0.3548,62
1861,0.3036,56
1862,0.1622,37
1863,0.2258,31
1864,0.22,50
1865,0.1667,30
1866,0.1818,44
1867,0.3571,42
1868,0.2742,62
1869,0.2222,45
1870,0.381,84
1871,0.137,73
1872,0.3617,47
1873,0.2203,59
1874,0.2162,74
1875,0.4328,67
1876,0.359,78
1877,0.2794,68
1878,0.3425,73
1879,0.161,118
1880,0.1986,141
1881,0.2619,84
1882,0.2019,104
1883,0.2958,71
1884,0.2376,101
1885,0.2589,112
1886,0.3148,108
1887,0.2534,146
1888,0.3047,128
1889,0.3354,158
1890,0.3796,137
1891,0.2805,164
1892,0.3028,142
1893,0.2684,231
1894,0.3836,219
1895,0.2381,273
1896,0.259,251
1897,0.2533,304
1898,0.3488,258
1899,0.3372,341
1900,0.3282,323
1901,0.2909,275
1902,0.328,314
1903,0.3108,325
1904,0.2925,335
1905,0.2906,351
1906,0.2888,367
1907,0.2914,326
1908,0.3036,392
1909,0.3736,348
1910,0.3595,370
1911,0.3493,355
1912,0.3828,384
1913,0.3613,393
1914,0.3919,347
1915,0.3077,416
1916,0.3568,412
1917,0.3275,345
1918,0.3612,407
1919,0.3855,428
1920,0.3937,414
1921,0.3735,423
1922,0.3996,463
1923,0.398,294
1924,0.4055,328
1925,0.3358,271
1926,0.2869,244
1927,0.3624,287
1928,0.3236,377
1929,0.3994,338
1930,0.405,400
1931,0.4062,325
1932,0.4149,417
1933,0.4024,251
1934,0.4302,265
1935,0.5299,385
1936,0.4472,407
1937,0.4475,476
1938,0.392,449
1939,0.4657,496
1940,0.4224,535
1941,0.3843,575
1942,0.4023,532
1943,0.4014,416
1944,0.4606,482
1945,0.4575,494
1946,0.4565,506
1947,0.4387,636
1948,0.362,605
1949,0.4451,802
1950,0.4382,858
1951,0.4419,887
1952,0.368,788
1953,0.4494,790
1954,0.3855,830
1955,0.4759,849
1956,0.4481,828
1957,0.3872,736
1958,0.4135,844
1959,0.4727,988
1960,0.4577,1195
1961,0.4504,1321
1962,0.4439,1453
1963,0.4257,1635
1964,0.4593,1574
1965,0.4398,1876
1966,0.459,1963
1967,0.4371,2283
1968,0.4655,2481
1969,0.4324,2634
1970,0.4464,2908
1971,0.4052,3843
1972,0.432,3715
1973,0.4646,3541
1974,0.4688,3513
1975,0.4461,3802
1976,0.4514,2827
1977,0.4564,3784
1978,0.4357,3629
1979,0.4395,3156
1980,0.4417,3398
1981,0.4405,4057
1982,0.4121,3836
1983,0.3893,4138
1984,0.4052,3776
1985,0.4277,2806
1986,0.4388,2826
1987,0.4566,3944
1988,0.4291,4540
1989,0.4413,4106
1990,0.4178,3861
1991,0.4271,3692
1992,0.4213,4322
1993,0.4573,9669
1994,0.4139,15222
1995,0.4291,10437
1996,0.426,7697
1997,0.4373,4752
1998,0.4715,4893
1999,0.441,2662
2000,0.462,2552
2001,0.4521,2639
2002,0.4618,2852
2003,0.4209,2839
2004,0.4447,3121
2005,0.4443,5366
2006,0.4245,4935
2007,0.4505,2111
2008,0.4429,3249
2009,0.4329,3199
2010,0.4385,1065
2011,0.4676,417
2012,0.4694,196
2013,0.4507,213
2014,0.4247,299
2015,0.3875,160
2016,0.4636,151
2017,0.5455,143
2018,0.2632,114
