date,ordinality,count
1849,0.425,40
1850,0.5,30
1853,0.3953,43
1854,0.1818,44
1856,0.4545,44
1857,0.3023,43
1858,0.3438,32
1859,0.1944,36
1866,0.2143,42
1867,0.4524,42
1868,0.375,40
1869,0.5,40
1870,0.2273,44
1871,0.4615,39
1872,0.4324,37
1874,0.2667,30
1875,0.3036,56
1876,0.4545,44
1877,0.3548,31
1878,0.5,36
1879,0.3636,33
1880,0.4118,51
1881,0.5577,52
1882,0.4545,44
1883,0.5778,45
1884,0.52,50
1886,0.5,30
1887,0.5714,49
1889,0.5593,59
1890,0.3667,30
1891,0.3171,41
1892,0.3019,53
1893,0.3684,57
1894,0.3962,53
1895,0.3333,54
1896,0.3704,54
1897,0.5714,49
1898,0.5614,57
1899,0.3857,70
1900,0.5172,58
1901,0.5577,52
1902,0.2963,54
1903,0.4889,45
1904,0.4561,57
1905,0.4848,33
1906,0.34,50
1907,0.3721,43
1908,0.5676,37
1909,0.5192,52
1910,0.5,42
1911,0.5088,57
1912,0.4048,42
1913,0.5952,42
1914,0.4091,44
1915,0.5405,37
1916,0.6154,39
1917,0.4348,46
1918,0.6486,37
1919,0.6471,34
1920,0.3056,36
1921,0.4762,42
1922,0.5526,38
1929,0.4048,42
1930,0.5,36
1935,0.6216,37
1937,0.6364,33
1940,0.5,32
1946,0.6053,38
1947,0.275,40
1948,0.5152,33
1949,0.5714,42
1950,0.4828,58
1951,0.4359,39
1952,0.3421,38
1953,0.6438,73
1954,0.5333,45
1955,0.4706,68
1956,0.38,50
1957,0.4833,60
1958,0.449,49
1959,0.4167,60
1960,0.5306,98
1961,0.4405,84
1962,0.5079,126
1963,0.4848,99
1964,0.4964,139
1965,0.4889,135
1966,0.5109,137
1967,0.5238,168
1968,0.5778,225
1969,0.5281,178
1970,0.383,188
1971,0.3641,195
1972,0.5217,207
1973,0.4581,227
1974,0.4973,183
1975,0.5316,190
1976,0.5,110
1977,0.4643,196
1978,0.3989,188
1979,0.4276,152
1980,0.578,173
1981,0.4425,226
1982,0.5633,245
1983,0.5238,273
1984,0.5837,257
1985,0.5215,163
1986,0.5542,166
1987,0.5404,285
1988,0.4463,307
1989,0.4107,280
1990,0.5263,171
1991,0.45,160
1992,0.556,232
1993,0.4691,437
1994,0.4472,597
1995,0.5174,402
1996,0.5324,293
1997,0.4579,190
1998,0.509,222
1999,0.4507,142
2000,0.3598,164
2001,0.5,92
2002,0.4545,132
2003,0.5345,116
2004,0.4918,122
2005,0.6157,281
2006,0.5259,251
2007,0.5868,121
2008,0.5338,148
2009,0.5217,138
2010,0.5476,42
