date,ordinality,count
1831,0.0,30
1833,0.0,30
1834,0.0303,33
1835,0.0256,39
1836,0.027,37
1837,0.0,41
1838,0.0,32
1839,0.0208,48
1840,0.0,40
1841,0.0,44
1842,0.0,34
1843,0.0278,36
1844,0.0,50
1845,0.0,50
1846,0.0,60
1847,0.0,64
1848,0.0125,80
1849,0.0147,68
1850,0.0,82
1851,0.0,91
1852,0.0127,79
1853,0.0095,105
1854,0.0097,103
1855,0.0,98
1856,0.0,96
1857,0.0,99
1858,0.0,60
1859,0.0,103
1860,0.012,83
1861,0.0,58
1862,0.0,54
1863,0.0,61
1864,0.0,80
1865,0.0154,65
1866,0.0,101
1867,0.0127,79
1868,0.0,92
1869,0.0092,109
1870,0.0,97
1871,0.0,102
1872,0.0115,87
1873,0.0,108
1874,0.0,93
1875,0.0254,118
1876,0.0,112
1877,0.0089,112
1878,0.0,99
1879,0.0,116
1880,0.0,163
1881,0.0231,130
1882,0.007,142
1883,0.0,141
1884,0.0132,151
1885,0.0,166
1886,0.0,172
1887,0.0132,151
1888,0.0,157
1889,0.0,211
1890,0.0,158
1891,0.0056,178
1892,0.0,157
1893,0.0146,205
1894,0.0,162
1895,0.0,214
1896,0.0,176
1897,0.0099,203
1898,0.0099,203
1899,0.0,321
1900,0.0,246
1901,0.0038,263
1902,0.0125,240
1903,0.0038,261
1904,0.0083,240
1905,0.0,263
1906,0.004,253
1907,0.0076,263
1908,0.0,277
1909,0.0038,265
1910,0.0,296
1911,0.0034,294
1912,0.0,303
1913,0.0062,324
1914,0.0101,298
1915,0.0,271
1916,0.0062,323
1917,0.0074,271
1918,0.0041,244
1919,0.0072,279
1920,0.0062,323
1921,0.0036,275
1922,0.0065,308
1923,0.0,163
1924,0.005,202
1925,0.0,180
1926,0.0114,176
1927,0.006,166
1928,0.0,182
1929,0.0,168
1930,0.0,209
1931,0.0168,179
1932,0.0234,171
1933,0.0201,149
1934,0.0,140
1935,0.0051,197
1936,0.0052,192
1937,0.0,251
1938,0.0099,203
1939,0.0103,195
1940,0.0,176
1941,0.0063,158
1942,0.0181,166
1943,0.0,123
1944,0.0071,140
1945,0.0063,158
1946,0.0105,191
1947,0.0036,274
1948,0.0,262
1949,0.0078,256
1950,0.0039,257
1951,0.0,258
1952,0.0147,273
1953,0.0,284
1954,0.0078,255
1955,0.0071,281
1956,0.0033,300
1957,0.0087,231
1958,0.0,271
1959,0.0034,295
1960,0.0029,350
1961,0.0183,327
1962,0.0107,375
1963,0.0223,403
1964,0.0055,362
1965,0.0076,393
1966,0.0,400
1967,0.0157,447
1968,0.0075,530
1969,0.0083,483
1970,0.0089,448
1971,0.002,496
1972,0.0097,516
1973,0.0022,456
1974,0.0068,442
1975,0.0059,509
1976,0.0118,507
1977,0.0056,713
1978,0.003,662
1979,0.0142,563
1980,0.0051,590
1981,0.0097,616
1982,0.0015,670
1983,0.0049,608
1984,0.0018,545
1985,0.0025,400
1986,0.0043,468
1987,0.0064,626
1988,0.0082,612
1989,0.0153,524
1990,0.0057,352
1991,0.0173,347
1992,0.005,398
1993,0.0045,886
1994,0.0032,1251
1995,0.0141,920
1996,0.0096,521
1997,0.0083,361
1998,0.0043,463
1999,0.0103,292
2000,0.0094,213
2001,0.014,214
2002,0.0185,270
2003,0.0,223
2004,0.0161,249
2005,0.0044,458
2006,0.0029,350
2007,0.0055,182
2008,0.0143,280
2009,0.0043,235
2010,0.0,82
2011,0.0,30
