date,ordinality,count
1847,0.0312,32
1852,0.0,31
1859,0.0,36
1867,0.0312,32
1869,0.0,44
1870,0.0294,34
1871,0.0,34
1876,0.0667,30
1879,0.0,37
1880,0.0,40
1881,0.0323,31
1884,0.0,46
1885,0.0556,36
1886,0.0323,31
1887,0.0,38
1888,0.0,34
1889,0.0625,32
1890,0.0,42
1891,0.0,36
1892,0.0,45
1893,0.0217,46
1894,0.0,33
1895,0.0,33
1896,0.0312,32
1897,0.0294,34
1898,0.0435,46
1899,0.0127,79
1900,0.0,64
1901,0.0,47
1902,0.0,43
1903,0.0,39
1904,0.0,47
1905,0.0,46
1906,0.0244,41
1907,0.0,53
1908,0.0,57
1909,0.0164,61
1910,0.0,62
1911,0.0,61
1912,0.0323,62
1913,0.0,66
1914,0.0,58
1915,0.0,48
1916,0.02,50
1917,0.0,58
1919,0.0196,51
1920,0.0,43
1921,0.0,35
1922,0.0222,45
1923,0.0,41
1924,0.0,33
1928,0.0294,34
1929,0.0,34
1930,0.0227,44
1937,0.0303,33
1938,0.0,33
1943,0.0,30
1947,0.0263,38
1948,0.0303,33
1949,0.0,35
1950,0.0,34
1951,0.0,32
1952,0.0213,47
1953,0.0455,44
1954,0.125,40
1955,0.0455,44
1956,0.0,36
1957,0.0,32
1958,0.0,41
1959,0.0196,51
1960,0.0426,47
1961,0.0769,52
1962,0.0625,48
1963,0.0541,37
1964,0.0,33
1965,0.0,51
1966,0.0,65
1967,0.0222,90
1968,0.0161,62
1969,0.0159,63
1970,0.0652,46
1971,0.0175,57
1972,0.0182,55
1973,0.0172,58
1974,0.0,41
1975,0.0426,47
1976,0.0,52
1977,0.0385,52
1978,0.0204,49
1979,0.0,70
1980,0.0233,43
1981,0.0317,63
1982,0.0,76
1983,0.0351,57
1984,0.0364,55
1985,0.0,45
1986,0.0,52
1987,0.0,50
1988,0.0167,60
1989,0.0208,48
1990,0.0,37
1991,0.0,45
1992,0.0,44
1993,0.027,111
1994,0.0,104
1995,0.0,83
1996,0.0149,67
1997,0.0,30
1998,0.0147,68
1999,0.0,35
2002,0.027,37
2004,0.0571,35
2005,0.0263,38
2008,0.0,33
