date,ordinality,count
1813,0.0,30
1818,0.0312,32
1820,0.0909,44
1827,0.0,44
1828,0.0,45
1829,0.0,42
1830,0.0,45
1831,0.0,43
1832,0.0,66
1833,0.0,54
1834,0.0,56
1835,0.0,53
1836,0.0,71
1837,0.0127,79
1838,0.0,80
1839,0.0,87
1840,0.0,79
1841,0.0,72
1842,0.0,72
1843,0.0366,82
1844,0.0,85
1845,0.041,122
1846,0.0,145
1847,0.0,111
1848,0.0,143
1849,0.0072,138
1850,0.0,178
1851,0.0,159
1852,0.0,151
1853,0.0155,193
1854,0.0093,215
1855,0.0224,134
1856,0.0032,308
1857,0.0109,184
1858,0.0112,179
1859,0.0074,271
1860,0.0108,186
1861,0.0069,144
1862,0.0177,113
1863,0.0073,137
1864,0.0066,151
1865,0.0107,187
1866,0.0043,231
1867,0.0112,179
1868,0.0051,195
1869,0.0,225
1870,0.0,220
1871,0.0144,209
1872,0.0042,239
1873,0.0,167
1874,0.0043,234
1875,0.0,224
1876,0.0,258
1877,0.0105,191
1878,0.0,238
1879,0.0,200
1880,0.0067,300
1881,0.0111,270
1882,0.0059,340
1883,0.0039,258
1884,0.0035,283
1885,0.0,240
1886,0.0,298
1887,0.0,336
1888,0.0,275
1889,0.0086,348
1890,0.0,320
1891,0.0,266
1892,0.0,268
1893,0.0072,278
1894,0.0,274
1895,0.0104,289
1896,0.0,336
1897,0.0034,295
1898,0.0086,349
1899,0.0055,362
1900,0.0061,327
1901,0.0,280
1902,0.0058,342
1903,0.0097,309
1904,0.0097,310
1905,0.0,316
1906,0.0132,302
1907,0.0058,346
1908,0.0028,354
1909,0.0054,367
1910,0.0,377
1911,0.006,333
1912,0.0,331
1913,0.0092,435
1914,0.0088,342
1915,0.0034,298
1916,0.0096,314
1917,0.0,305
1918,0.0,249
1919,0.0,329
1920,0.0,311
1921,0.0,264
1922,0.0,331
1923,0.0047,213
1924,0.0,214
1925,0.0041,242
1926,0.0053,189
1927,0.0,212
1928,0.0044,226
1929,0.0041,242
1930,0.0,247
1931,0.0091,219
1932,0.0124,161
1933,0.0,157
1934,0.0056,179
1935,0.0,185
1936,0.0,214
1937,0.0,210
1938,0.0049,204
1939,0.015,200
1940,0.0045,223
1941,0.0109,184
1942,0.0062,161
1943,0.0,128
1944,0.0,137
1945,0.0068,148
1946,0.0,206
1947,0.0,213
1948,0.0049,203
1949,0.0,241
1950,0.0,234
1951,0.0048,210
1952,0.0053,188
1953,0.0116,173
1954,0.0103,194
1955,0.0178,225
1956,0.0,199
1957,0.0,192
1958,0.0,223
1959,0.0,202
1960,0.0,240
1961,0.004,253
1962,0.0112,267
1963,0.0072,279
1964,0.0041,243
1965,0.0134,298
1966,0.009,332
1967,0.006,331
1968,0.0169,414
1969,0.0054,368
1970,0.006,333
1971,0.0118,340
1972,0.0058,346
1973,0.006,335
1974,0.0033,302
1975,0.0042,237
1976,0.013,230
1977,0.0261,268
1978,0.0074,269
1979,0.0,271
1980,0.0,214
1981,0.0076,263
1982,0.0,256
1983,0.0044,229
1984,0.0,217
1985,0.0047,213
1986,0.0181,166
1987,0.0157,191
1988,0.0071,282
1989,0.0044,225
1990,0.006,167
1991,0.0,167
1992,0.011,181
1993,0.0096,415
1994,0.0073,548
1995,0.0048,414
1996,0.0,204
1997,0.0062,162
1998,0.0,163
1999,0.0,154
2000,0.0,79
2001,0.0,66
2002,0.0114,88
2003,0.0145,69
2004,0.0,79
2005,0.0123,163
2006,0.0071,140
2007,0.0,45
2008,0.0,87
2009,0.0128,78
