date,ordinality,count
1825,0.0667,30
1828,0.0,63
1830,0.0,36
1831,0.0,31
1832,0.0,44
1833,0.0,51
1834,0.0,56
1836,0.0,62
1838,0.0,38
1839,0.0,48
1840,0.0,50
1841,0.0,43
1842,0.0,31
1843,0.0,66
1844,0.0,107
1845,0.0,89
1846,0.0,66
1847,0.0,68
1848,0.0,72
1849,0.0,80
1850,0.0,82
1851,0.0,94
1852,0.0172,58
1853,0.0,113
1854,0.0,110
1855,0.0,101
1856,0.0105,95
1857,0.0097,103
1858,0.0,39
1859,0.0,102
1860,0.0092,109
1861,0.0,88
1862,0.0,70
1863,0.0357,56
1864,0.0,76
1865,0.0536,56
1866,0.0278,72
1867,0.0,109
1868,0.0288,104
1869,0.0081,123
1870,0.0,122
1871,0.0,63
1872,0.0,103
1873,0.0149,67
1874,0.013,77
1875,0.0137,73
1876,0.0,95
1877,0.0149,67
1878,0.0,69
1879,0.0119,84
1880,0.0,90
1881,0.0,193
1882,0.0,123
1883,0.0,56
1884,0.0101,99
1885,0.0102,98
1886,0.0,91
1887,0.0225,89
1888,0.0,91
1889,0.0,139
1890,0.0,214
1891,0.0,96
1892,0.0123,81
1893,0.0222,90
1894,0.0111,90
1895,0.0183,109
1896,0.0,118
1897,0.0058,171
1898,0.025,120
1899,0.0105,191
1900,0.0147,136
1901,0.0078,129
1902,0.0078,128
1903,0.0248,121
1904,0.0,105
1905,0.0088,113
1906,0.0159,126
1907,0.0083,120
1908,0.037,108
1909,0.0308,130
1910,0.0329,152
1911,0.0,128
1912,0.0157,127
1913,0.0201,149
1914,0.0,78
1915,0.0361,83
1916,0.0367,109
1917,0.0233,129
1918,0.0896,67
1919,0.023,87
1920,0.0,87
1921,0.0294,68
1922,0.0,124
1923,0.0115,87
1924,0.0278,72
1925,0.0161,62
1926,0.0429,70
1927,0.0426,47
1928,0.0,55
1929,0.0,76
1930,0.0395,76
1931,0.0,45
1932,0.0,55
1933,0.0,32
1934,0.0294,34
1935,0.0417,72
1936,0.0,42
1937,0.0185,54
1938,0.0204,49
1939,0.0377,53
1940,0.0,43
1941,0.0238,42
1942,0.0588,34
1943,0.0,53
1944,0.0,37
1945,0.0,56
1946,0.08,50
1947,0.0152,66
1948,0.0,52
1949,0.0,71
1950,0.0,73
1951,0.0185,54
1952,0.0,89
1953,0.0119,84
1954,0.0196,102
1955,0.0,95
1956,0.0909,55
1957,0.04,75
1958,0.0625,96
1959,0.0133,75
1960,0.0116,86
1961,0.0,63
1962,0.0194,103
1963,0.0146,137
1964,0.0,100
1965,0.0096,104
1966,0.0,136
1967,0.0246,122
1968,0.0109,184
1969,0.0359,167
1970,0.014,215
1971,0.0136,147
1972,0.0082,122
1973,0.0094,106
1974,0.0325,123
1975,0.0323,93
1976,0.0077,130
1977,0.0163,184
1978,0.0085,117
1979,0.0106,94
1980,0.029,138
1981,0.0185,162
1982,0.0471,85
1983,0.0095,105
1984,0.0693,101
1985,0.0449,89
1986,0.011,91
1987,0.0672,119
1988,0.0219,137
1989,0.0325,123
1990,0.0174,115
1991,0.0116,86
1992,0.0156,128
1993,0.0159,251
1994,0.0204,245
1995,0.0354,198
1996,0.0149,67
1997,0.0581,86
1998,0.0105,95
1999,0.0,60
2000,0.0488,41
2001,0.0192,52
2002,0.0,56
2003,0.0323,62
2004,0.0,50
2005,0.0189,106
2006,0.0417,72
2007,0.0385,52
2008,0.0435,92
2009,0.0385,52
