date,ordinality,count
1828,0.5833,36
1830,0.7742,31
1832,0.6379,58
1833,0.7031,32
1834,0.803,33
1835,0.7679,42
1836,0.77,50
1837,0.7703,37
1838,0.8085,47
1839,0.7705,69
1840,0.8421,57
1841,0.687,41
1842,0.7703,37
1843,0.6905,42
1844,0.75,56
1845,0.7012,82
1846,0.7231,65
1847,0.78,75
1848,0.7385,58
1849,0.8357,70
1850,0.7463,67
1851,0.811,82
1852,0.7957,93
1853,0.7124,102
1854,0.755,100
1855,0.7778,99
1856,0.6903,113
1857,0.7431,96
1858,0.6427,87
1859,0.755,100
1860,0.7767,106
1861,0.7808,73
1862,0.7978,61
1863,0.7536,69
1864,0.8116,69
1865,0.7671,73
1866,0.7308,91
1867,0.7857,84
1868,0.795,100
1869,0.7314,85
1870,0.7969,96
1871,0.8542,96
1872,0.7622,82
1873,0.7785,73
1874,0.8816,88
1875,0.716,108
1876,0.7714,113
1877,0.7967,75
1878,0.783,91
1879,0.8209,94
1880,0.7157,102
1881,0.7357,93
1882,0.7723,101
1883,0.7569,96
1884,0.7701,116
1885,0.7344,96
1886,0.7152,123
1887,0.8235,119
1888,0.7596,113
1889,0.6797,125
1890,0.7643,128
1891,0.8043,115
1892,0.6652,115
1893,0.662,142
1894,0.672,141
1895,0.7194,129
1896,0.7062,135
1897,0.7235,132
1898,0.75,150
1899,0.7646,189
1900,0.75,200
1901,0.807,158
1902,0.8103,139
1903,0.7498,174
1904,0.7575,156
1905,0.7805,161
1906,0.7341,157
1907,0.6846,167
1908,0.7593,171
1909,0.7377,162
1910,0.7609,184
1911,0.7702,198
1912,0.7373,203
1913,0.7397,194
1914,0.7515,218
1915,0.6767,199
1916,0.7387,221
1917,0.7059,204
1918,0.7053,171
1919,0.7126,214
1920,0.7111,193
1921,0.7426,191
1922,0.7268,223
1923,0.7607,133
1924,0.6964,140
1925,0.7347,142
1926,0.6938,135
1927,0.6491,138
1928,0.7183,168
1929,0.7474,152
1930,0.6867,175
1931,0.6966,148
1932,0.734,151
1933,0.7079,178
1934,0.6357,166
1935,0.6775,208
1936,0.6991,193
1937,0.7546,221
1938,0.6724,245
1939,0.6872,212
1940,0.7135,220
1941,0.7396,206
1942,0.691,212
1943,0.651,170
1944,0.6832,161
1945,0.7036,209
1946,0.6532,254
1947,0.7015,299
1948,0.6923,293
1949,0.6308,300
1950,0.6736,312
1951,0.6956,291
1952,0.6719,320
1953,0.668,316
1954,0.6701,354
1955,0.6366,376
1956,0.6834,419
1957,0.6474,384
1958,0.6216,398
1959,0.6088,377
1960,0.6165,488
1961,0.6548,511
1962,0.6245,531
1963,0.6828,578
1964,0.6683,608
1965,0.6226,654
1966,0.6274,707
1967,0.6257,803
1968,0.6123,856
1969,0.6391,915
1970,0.623,1002
1971,0.6178,1058
1972,0.6347,1048
1973,0.6302,1064
1974,0.6225,1037
1975,0.6118,1079
1976,0.6307,872
1977,0.611,1167
1978,0.5991,1177
1979,0.5801,1174
1980,0.5941,1197
1981,0.6249,1366
1982,0.6115,1348
1983,0.6013,1379
1984,0.618,1317
1985,0.609,1049
1986,0.6223,934
1987,0.6176,1221
1988,0.6195,1728
1989,0.6348,1332
1990,0.6092,930
1991,0.5757,753
1992,0.635,878
1993,0.6331,1334
1994,0.6373,1910
1995,0.6059,1739
1996,0.6387,1508
1997,0.6115,1090
1998,0.6398,1308
1999,0.6139,759
2000,0.6247,626
2001,0.6267,621
2002,0.6612,643
2003,0.6367,628
2004,0.6075,667
2005,0.6278,1245
2006,0.6395,1184
2007,0.6583,492
2008,0.6327,838
2009,0.6381,772
2010,0.632,296
2011,0.6003,133
2012,0.5273,95
2013,0.5074,68
2014,0.4313,42
2015,0.7171,43
