date,ordinality,count
1966,0.2604,32
1970,0.1515,33
1971,0.3333,53
1972,0.2438,54
1973,0.2636,55
1974,0.2251,57
1975,0.1731,52
1976,0.3171,41
1977,0.3077,65
1978,0.2544,57
1979,0.1871,57
1980,0.3357,60
1981,0.2537,82
1982,0.3113,68
1983,0.3157,66
1984,0.2056,90
1985,0.2304,46
1986,0.3441,62
1987,0.3116,69
1988,0.3219,95
1989,0.3294,85
1990,0.2874,69
1991,0.2609,46
1992,0.2941,68
1993,0.25,95
1994,0.2825,150
1995,0.3059,164
1996,0.1993,138
1997,0.3065,92
1998,0.2742,124
1999,0.2759,58
2000,0.2609,46
2001,0.29,50
2002,0.2673,54
2003,0.3515,55
2004,0.4236,72
2005,0.3045,110
2006,0.2717,107
2007,0.4574,47
2008,0.2712,76
2009,0.2078,77
