date,ordinality,count
1817,0.0,56
1826,0.125,48
1832,0.0,59
1833,0.0161,62
1836,0.0211,95
1845,0.08,50
1846,0.0374,107
1847,0.0455,66
1848,0.0328,61
1850,0.2727,33
1851,0.1429,35
1852,0.0847,59
1853,0.0625,64
1854,0.0244,41
1855,0.051,98
1856,0.122,41
1857,0.0282,71
1858,0.2969,64
1859,0.0909,44
1860,0.1475,61
1861,0.0294,34
1863,0.1176,34
1867,0.0571,35
1869,0.1081,37
1870,0.0327,153
1871,0.0976,41
1872,0.0426,47
1874,0.0625,80
1875,0.0164,61
1876,0.04,75
1877,0.2687,67
1878,0.0562,89
1879,0.0513,39
1880,0.0943,53
1881,0.0,39
1882,0.037,54
1883,0.0729,96
1884,0.043,93
1885,0.0789,76
1886,0.0532,94
1887,0.0517,58
1888,0.0208,96
1889,0.0631,111
1890,0.1818,110
1891,0.0968,93
1892,0.1071,84
1893,0.1071,84
1894,0.0957,115
1895,0.0989,91
1896,0.0465,86
1897,0.1333,105
1898,0.1765,68
1899,0.0943,106
1900,0.1081,111
1901,0.0225,89
1902,0.041,122
1903,0.1101,109
1904,0.0916,131
1905,0.0803,137
1906,0.0615,130
1907,0.0662,136
1908,0.0976,123
1909,0.1395,86
1910,0.0933,75
1911,0.125,104
1912,0.0818,110
1913,0.0942,138
1914,0.2919,161
1915,0.1,70
1916,0.0459,109
1917,0.0164,61
1918,0.1474,95
1919,0.1594,69
1920,0.0651,169
1921,0.1125,80
1922,0.0577,156
1923,0.0896,67
1924,0.0278,36
1925,0.0645,62
1926,0.1522,46
1927,0.0108,93
1928,0.0119,84
1929,0.0444,90
1930,0.1045,67
1931,0.0323,62
1932,0.1266,79
1933,0.0571,70
1934,0.0517,58
1935,0.0215,93
1936,0.0575,87
1937,0.0882,102
1938,0.1111,108
1939,0.0154,130
1940,0.0694,144
1941,0.044,91
1942,0.0465,86
1943,0.1017,59
1944,0.08,50
1945,0.0833,48
1946,0.0449,89
1947,0.027,111
1948,0.1043,115
1949,0.05,140
1950,0.0452,199
1951,0.0455,176
1952,0.0692,130
1953,0.0621,177
1954,0.0441,227
1955,0.0837,239
1956,0.0361,194
1957,0.055,200
1958,0.0476,336
1959,0.0476,336
1960,0.0559,358
1961,0.0917,327
1962,0.0687,393
1963,0.0535,486
1964,0.0721,527
1965,0.0685,540
1966,0.0509,688
1967,0.032,593
1968,0.0436,573
1969,0.0752,798
1970,0.0627,622
1971,0.0516,659
1972,0.0519,693
1973,0.0565,814
1974,0.0429,839
1975,0.0787,826
1976,0.0437,687
1977,0.0434,783
1978,0.0395,1039
1979,0.0486,947
1980,0.069,710
1981,0.0471,934
1982,0.0645,899
1983,0.054,963
1984,0.0633,822
1985,0.0637,628
1986,0.0578,623
1987,0.0854,867
1988,0.0719,959
1989,0.0733,818
1990,0.0842,594
1991,0.0851,599
1992,0.1174,656
1993,0.1147,1404
1994,0.1315,1643
1995,0.1338,1173
1996,0.1069,795
1997,0.1009,466
1998,0.1282,476
1999,0.0539,334
2000,0.0502,239
2001,0.0618,275
2002,0.1036,309
2003,0.1193,243
2004,0.0634,426
2005,0.1593,383
2006,0.1047,296
2007,0.0838,167
2008,0.0995,191
2009,0.0857,175
2010,0.0323,31
