date,ordinality,count
1827,0.8387,31
1830,0.9268,41
1831,0.9189,37
1832,0.8864,44
1833,0.8776,49
1834,0.8605,43
1835,0.9467,75
1836,0.8833,60
1837,0.8846,52
1838,1.0,46
1839,0.8873,71
1840,0.9143,35
1841,0.8261,46
1842,0.8923,65
1843,0.8387,62
1844,0.873,63
1845,0.899,99
1846,0.8667,75
1847,0.859,78
1848,0.875,104
1849,0.9103,78
1850,0.9327,104
1851,0.8947,95
1852,0.9029,103
1853,0.9,120
1854,0.9406,101
1855,0.8824,85
1856,0.9175,97
1857,0.9213,89
1858,0.8356,73
1859,0.9437,71
1860,0.8551,69
1861,0.8478,46
1862,0.9512,41
1863,0.814,43
1864,0.8769,65
1865,0.9123,57
1866,0.913,69
1867,0.8902,82
1868,0.8596,57
1869,0.9032,62
1870,0.8902,82
1871,0.8732,71
1872,0.8209,67
1873,0.88,50
1874,0.8769,65
1875,0.8475,59
1876,0.8814,59
1877,0.9024,41
1878,0.9333,45
1879,0.8605,43
1880,0.7241,58
1881,0.7541,61
1882,0.881,84
1883,0.931,58
1884,0.7681,69
1885,0.8596,57
1886,0.9487,78
1887,0.8276,58
1888,0.8471,85
1889,0.8971,68
1890,0.8421,57
1891,0.9,60
1892,0.8594,64
1893,0.9111,45
1894,0.8222,90
1895,0.8438,64
1896,0.8333,42
1897,0.8485,33
1898,0.9138,58
1899,0.8911,101
1900,0.8621,58
1901,0.8158,38
1902,0.8627,51
1903,0.8475,59
1904,0.902,51
1905,0.9286,42
1906,0.8478,46
1907,0.8361,61
1908,0.8824,51
1909,0.9643,56
1910,0.9184,49
1911,0.82,50
1912,0.8293,41
1913,0.9792,48
1915,0.8421,38
1916,0.9032,31
1918,0.871,31
1919,0.9375,32
1920,0.9677,31
1951,0.7097,31
1955,0.8438,32
1960,0.825,40
1961,0.7826,46
1962,0.8864,44
1963,0.7949,39
1965,0.9655,58
1966,0.8333,42
1967,0.7736,53
1968,0.9467,75
1969,0.9344,61
1970,0.7429,70
1971,0.8947,57
1972,0.8608,79
1973,0.85,40
1974,0.7895,38
1975,0.88,50
1978,0.8837,43
1981,0.8125,32
1983,0.8444,45
1984,0.7755,49
1985,0.9091,33
1987,0.7188,32
1988,0.7708,48
1989,0.7632,38
1990,0.6176,34
1992,0.8372,43
1993,0.791,67
1994,0.8267,75
1995,0.8488,86
1996,0.8333,36
1998,0.8,40
