date,ordinality,count
1841,0.0645,31
1845,0.025,40
1847,0.0,39
1849,0.0541,37
1850,0.0203,41
1851,0.1176,34
1852,0.0435,46
1853,0.0357,56
1854,0.0761,46
1855,0.0606,33
1856,0.0714,49
1857,0.0,31
1859,0.1552,58
1860,0.075,40
1861,0.0625,32
1862,0.1212,33
1864,0.0,32
1865,0.0286,35
1866,0.0,33
1869,0.0417,36
1870,0.0588,34
1871,0.0571,35
1872,0.0238,42
1873,0.0263,38
1874,0.0,39
1875,0.0698,43
1876,0.1053,38
1877,0.05,40
1878,0.0571,35
1880,0.125,44
1881,0.0303,33
1882,0.0357,56
1883,0.1047,43
1884,0.0833,48
1885,0.0408,49
1886,0.0268,56
1887,0.04,50
1888,0.0189,53
1889,0.0492,61
1890,0.0196,51
1891,0.0392,51
1892,0.0431,58
1893,0.0244,41
1894,0.0,38
1895,0.0308,65
1896,0.0364,55
1897,0.0189,53
1898,0.1111,54
1899,0.0291,86
1900,0.0566,53
1901,0.0,48
1902,0.0345,58
1903,0.0152,66
1904,0.0179,56
1905,0.0656,61
1906,0.0143,70
1907,0.0267,75
1908,0.0709,47
1909,0.0242,62
1910,0.0556,72
1911,0.0638,47
1912,0.122,41
1913,0.0455,44
1914,0.0303,33
1915,0.06,50
1916,0.0204,49
1919,0.0233,43
1920,0.0256,39
1921,0.0037,34
1922,0.0364,55
1923,0.0588,34
1924,0.0645,31
1926,0.0833,36
1939,0.0688,32
1949,0.0294,34
1961,0.0,32
1964,0.0,32
1966,0.0513,39
1967,0.0286,35
1968,0.0444,45
1969,0.0377,53
1970,0.0976,41
1974,0.0152,33
1988,0.0806,31
