date,ordinality,count
1926,0.0,34
1927,0.0,46
1928,0.0152,66
1929,0.0,56
1930,0.0,57
1931,0.0,57
1932,0.0,75
1933,0.0,70
1934,0.0,86
1935,0.0,81
1936,0.0,73
1937,0.0,92
1938,0.0,95
1939,0.0,109
1940,0.0087,115
1941,0.0,109
1942,0.0,111
1943,0.0,70
1944,0.0,64
1945,0.0,65
1946,0.0118,85
1947,0.0,110
1948,0.0,127
1949,0.0,131
1950,0.0,132
1951,0.0,131
1952,0.0,109
1953,0.0,119
1954,0.0,127
1955,0.0088,137
1956,0.0039,127
1957,0.0,129
1958,0.0,134
1959,0.0,153
1960,0.0072,139
1961,0.0062,162
1962,0.0,187
1963,0.0,217
1964,0.0047,214
1965,0.0,225
1966,0.0034,291
1967,0.0,301
1968,0.0032,308
1969,0.0,325
1970,0.0,346
1971,0.0,381
1972,0.0,432
1973,0.0,426
1974,0.0,490
1975,0.0017,586
1976,0.0,398
1977,0.0,533
1978,0.0008,602
1979,0.0,514
1980,0.001,523
1981,0.0,562
1982,0.0,639
1983,0.0,598
1984,0.0,584
1985,0.0,381
1986,0.0,323
1987,0.0,435
1988,0.0,652
1989,0.0008,416
1990,0.0009,267
1991,0.0,209
1992,0.0,231
1993,0.0,341
1994,0.0,536
1995,0.0002,497
1996,0.0024,411
1997,0.0,251
1998,0.0033,303
1999,0.0,202
2000,0.0,103
2001,0.0,96
2002,0.0,125
2003,0.0,126
2004,0.0083,121
2005,0.0,223
2006,0.0074,272
2007,0.0096,104
2008,0.0,97
2009,0.0,93
2010,0.0,38
