date,ordinality,count
1800,0.846,79
1801,0.8435,46
1802,0.9146,41
1803,0.8452,42
1804,0.9143,35
1805,0.8198,60
1806,0.8351,57
1807,0.8758,66
1808,0.9059,62
1809,0.837,48
1810,0.8815,64
1811,0.8762,63
1812,0.8682,58
1813,0.8852,61
1814,0.9245,60
1815,0.8915,80
1816,0.844,75
1817,0.8598,82
1818,0.903,79
1819,0.9338,78
1820,0.8966,87
1821,0.8821,70
1822,0.8244,98
1823,0.8924,96
1824,0.8473,113
1825,0.8622,101
1826,0.8909,110
1827,0.8549,85
1828,0.8736,109
1829,0.838,121
1830,0.8516,140
1831,0.8404,139
1832,0.8861,148
1833,0.8736,171
1834,0.9035,127
1835,0.8928,171
1836,0.9086,189
1837,0.8133,185
1838,0.8504,211
1839,0.8687,226
1840,0.8842,175
1841,0.8903,202
1842,0.8646,199
1843,0.8237,238
1844,0.831,276
1845,0.8583,312
1846,0.8316,322
1847,0.871,300
1848,0.8238,363
1849,0.862,325
1850,0.8407,395
1851,0.8554,398
1852,0.8649,383
1853,0.8809,478
1854,0.8682,467
1855,0.829,428
1856,0.8603,486
1857,0.8609,463
1858,0.8408,369
1859,0.8382,494
1860,0.8651,455
1861,0.8379,322
1862,0.8417,283
1863,0.8468,287
1864,0.8331,324
1865,0.8701,347
1866,0.8593,429
1867,0.8275,373
1868,0.8507,397
1869,0.8466,465
1870,0.8452,445
1871,0.8368,472
1872,0.8349,422
1873,0.8489,393
1874,0.8251,352
1875,0.8422,416
1876,0.802,466
1877,0.8099,413
1878,0.8541,383
1879,0.8486,509
1880,0.8421,509
1881,0.8489,529
1882,0.8105,538
1883,0.8028,556
1884,0.8105,570
1885,0.7966,550
1886,0.835,564
1887,0.8156,602
1888,0.791,578
1889,0.8336,720
1890,0.8276,636
1891,0.7986,602
1892,0.8384,661
1893,0.8302,690
1894,0.8008,633
1895,0.8504,744
1896,0.8435,691
1897,0.8222,730
1898,0.8256,744
1899,0.82,1022
1900,0.8544,892
1901,0.8198,752
1902,0.8234,794
1903,0.8564,826
1904,0.8373,804
1905,0.8794,814
1906,0.841,870
1907,0.8604,913
1908,0.8692,939
1909,0.8807,977
1910,0.8697,895
1911,0.8556,979
1912,0.8659,935
1913,0.8613,988
1914,0.8607,975
1915,0.8825,874
1916,0.8749,816
1917,0.886,894
1918,0.897,738
1919,0.8883,933
1920,0.8742,945
1921,0.8691,833
1922,0.8857,948
1923,0.8698,611
1924,0.8861,534
1925,0.8837,554
1926,0.8999,528
1927,0.8774,602
1928,0.9255,584
1929,0.9132,628
1930,0.8994,605
1931,0.8984,614
1932,0.9148,529
1933,0.9149,499
1934,0.9092,538
1935,0.9068,562
1936,0.8875,598
1937,0.9022,678
1938,0.9102,643
1939,0.8988,638
1940,0.9276,591
1941,0.9226,594
1942,0.9109,504
1943,0.9058,422
1944,0.9106,431
1945,0.9396,516
1946,0.9312,571
1947,0.8988,678
1948,0.8955,669
1949,0.9103,752
1950,0.9211,745
1951,0.9074,645
1952,0.9022,690
1953,0.9213,689
1954,0.9371,721
1955,0.9207,727
1956,0.9243,699
1957,0.9053,760
1958,0.9146,780
1959,0.9117,809
1960,0.9221,879
1961,0.9148,930
1962,0.9141,988
1963,0.9216,1045
1964,0.905,1038
1965,0.9079,1073
1966,0.9184,1110
1967,0.9068,1233
1968,0.918,1395
1969,0.9066,1383
1970,0.9166,1420
1971,0.9126,1480
1972,0.9344,1435
1973,0.9048,1388
1974,0.9104,1289
1975,0.9234,1164
1976,0.9333,1024
1977,0.9424,1169
1978,0.9276,1236
1979,0.9357,1126
1980,0.9257,1069
1981,0.9348,1120
1982,0.931,1166
1983,0.9298,1144
1984,0.9282,1001
1985,0.9113,853
1986,0.9133,798
1987,0.9167,1057
1988,0.9152,1208
1989,0.9269,976
1990,0.9193,653
1991,0.9285,522
1992,0.928,697
1993,0.9289,1030
1994,0.9089,1302
1995,0.8996,1264
1996,0.9172,919
1997,0.9188,738
1998,0.8872,878
1999,0.9358,540
2000,0.9408,396
2001,0.9453,408
2002,0.9318,481
2003,0.9324,433
2004,0.9309,487
2005,0.9253,833
2006,0.9206,717
2007,0.9032,353
2008,0.921,568
2009,0.9,434
2010,0.9113,157
2011,0.9632,68
2012,0.961,41
