date,ordinality,count
1959,0.125,32
1960,0.0,42
1961,0.0196,51
1962,0.0015,59
1963,0.0359,65
1964,0.0222,60
1965,0.0179,56
1966,0.0314,78
1967,0.039,77
1968,0.0509,94
1969,0.0951,83
1970,0.0638,74
1971,0.0263,76
1972,0.0478,88
1973,0.0373,67
1974,0.0717,88
1975,0.0444,90
1976,0.0273,55
1977,0.0351,74
1978,0.0423,71
1979,0.0187,80
1980,0.0199,67
1981,0.0392,85
1982,0.0472,114
1983,0.0188,112
1984,0.0523,86
1985,0.0235,85
1986,0.0262,84
1987,0.0762,105
1988,0.0394,127
1989,0.0076,132
1990,0.0,85
1991,0.0504,86
1992,0.0253,78
1993,0.023,141
1994,0.0482,166
1995,0.0029,156
1996,0.0513,116
1997,0.0154,81
1998,0.0268,84
1999,0.0616,73
2000,0.0,62
2001,0.0375,60
2002,0.0015,53
2003,0.0213,47
2004,0.0351,57
2005,0.0426,99
2006,0.0306,98
2007,0.0,37
2008,0.0455,44
2009,0.0417,32
