date,ordinality,count
1892,0.9706,34
1900,0.9878,41
1901,1.0,31
1903,1.0,43
1904,1.0,48
1905,1.0,42
1906,1.0,33
1907,1.0,46
1908,1.0,43
1909,1.0,42
1910,1.0,59
1911,1.0,54
1912,1.0,51
1913,1.0,36
1914,1.0,58
1915,1.0,44
1916,1.0,56
1917,0.9744,39
1918,0.9706,34
1919,1.0,39
1920,1.0,55
1921,1.0,40
1922,1.0,78
1923,0.9653,37
1924,1.0,51
1925,1.0,42
1926,0.9688,32
1927,1.0,45
1928,0.9697,33
1929,1.0,41
1930,0.9921,36
1931,1.0,46
1932,1.0,44
1933,1.0,45
1934,1.0,34
1935,0.9787,47
1936,1.0,45
1937,1.0,46
1938,1.0,44
1939,1.0,48
1941,1.0,44
1942,1.0,32
1946,1.0,39
1947,1.0,45
1948,1.0,33
1949,0.9792,48
1950,1.0,51
1951,1.0,37
1952,1.0,52
1953,0.9879,55
1954,1.0,44
1955,1.0,42
1956,1.0,42
1957,1.0,44
1958,1.0,49
1959,1.0,40
1960,1.0,55
1961,1.0,66
1962,1.0,68
1963,1.0,78
1964,0.9846,65
1965,0.9747,79
1966,1.0,53
1967,1.0,77
1968,0.9747,79
1969,0.9878,82
1970,0.9853,68
1971,1.0,66
1972,1.0,78
1973,1.0,48
1974,1.0,59
1975,0.9818,55
1976,1.0,40
1977,1.0,59
1978,1.0,49
1979,1.0,43
1980,0.977,58
1981,1.0,60
1982,1.0,49
1983,0.9958,45
1984,1.0,33
1985,1.0,31
1987,1.0,35
1988,0.9773,44
1989,1.0,37
1993,0.9875,40
1994,1.0,43
1995,1.0,42
1996,1.0,32
